time (s),velocity (m/s)
23.150000000000002,12.83818181818182
23.200000000000003,12.87818181818182
23.25,12.918181818181818
23.3,12.958181818181819
23.35,12.99818181818182
23.400000000000002,13.03818181818182
23.450000000000003,13.078181818181822
23.5,13.118181818181819
23.55,13.15818181818182
23.6,13.19818181818182
23.650000000000002,13.23818181818182
23.700000000000003,13.278181818181821
23.75,13.318181818181818
23.8,13.35818181818182
23.85,13.39818181818182
23.900000000000002,13.438181818181821
23.950000000000003,13.47818181818182
24.0,13.51818181818182
24.05,13.558181818181819
24.1,13.59818181818182
24.150000000000002,13.63818181818182
24.200000000000003,13.678181818181821
24.25,13.718181818181819
24.3,13.75818181818182
24.35,13.79818181818182
24.400000000000002,13.83818181818182
24.450000000000003,13.87818181818182
24.5,13.918181818181818
24.55,13.958181818181819
24.6,13.99818181818182
24.650000000000002,14.03818181818182
24.700000000000003,14.078181818181822
24.75,14.118181818181819
24.8,14.15818181818182
24.85,14.19818181818182
24.900000000000002,14.23818181818182
24.950000000000003,14.278181818181821
25.0,14.318181818181818
25.05,14.35818181818182
25.1,14.39818181818182
25.150000000000002,14.438181818181821
25.200000000000003,14.47818181818182
25.25,14.51818181818182
25.3,14.558181818181819
25.35,14.59818181818182
25.400000000000002,14.63818181818182
25.450000000000003,14.678181818181821
25.5,14.691343140760509
25.55,14.691343140760509
25.6,14.691343140760509
25.650000000000002,14.691343140760509
25.700000000000003,14.691343140760509
25.75,14.691343140760509
25.8,14.691343140760509
25.85,14.691343140760509
25.900000000000002,14.691343140760509
25.950000000000003,14.691343140760509
26.0,14.691343140760509
26.05,14.691343140760509
26.1,14.691343140760509
26.150000000000002,14.691343140760509
26.200000000000003,14.691343140760509
26.25,14.691343140760509
26.3,14.691343140760509
26.35,14.691343140760509
26.400000000000002,14.691343140760509
26.450000000000003,14.691343140760509
26.5,14.691343140760509
26.55,14.691343140760509
26.6,14.691343140760509
26.650000000000002,14.691343140760509
26.700000000000003,14.691343140760509
26.75,14.691343140760509
26.8,14.691343140760509
26.85,14.691343140760509
26.900000000000002,14.691343140760509
26.950000000000003,14.691343140760509
27.0,14.691343140760509
27.05,14.691343140760509
27.1,14.691343140760509
27.150000000000002,14.691343140760509
27.200000000000003,14.691343140760509
27.25,14.691343140760509
27.3,14.691343140760509
27.35,14.691343140760509
27.400000000000002,14.691343140760509
27.450000000000003,14.691343140760509
27.5,14.691343140760509
27.55,14.691343140760509
27.6,14.691343140760509
