section,segment,rows,duration_s,distance_m,real_energy_wh,fusion_energy_wh,run_class,quality_label,service_no,date_service,figure
张家潭-同德路,19,3005,150.2,2054.035,18090.446,17828.837,3,0,71219,07/1271219,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_019_07_1271219.jpg
张家潭-同德路,20,2956,147.75,2053.66,17906.2,18072.074,2,0,71220,07/1271220,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_020_07_1271220.jpg
张家潭-同德路,21,3061,153.0,2053.395,16974.235,17240.192,3,0,71221,07/1271221,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_021_07_1271221.jpg
张家潭-同德路,22,3044,152.15,2054.789,17526.997,17713.498,3,0,71222,07/1271222,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_022_07_1271222.jpg
张家潭-同德路,23,2998,149.85,2053.611,18021.963,18183.961,3,0,71223,07/1271223,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_023_07_1271223.jpg
张家潭-同德路,24,3035,151.7,2052.997,16944.431,17099.872,3,0,71224,07/1271224,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_024_07_1271224.jpg
张家潭-同德路,25,3034,151.65,2053.512,17426.388,17467.189,3,0,71225,07/1271225,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_025_07_1271225.jpg
张家潭-同德路,26,3036,151.75,2055.408,14949.23,15237.305,3,1,71226,07/1271226,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_026_07_1271226.jpg
张家潭-同德路,27,3041,152.0,2050.48,17352.686,17609.609,3,0,71327,07/1371327,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_027_07_1371327.jpg
张家潭-同德路,28,3038,151.85,2050.382,17644.192,17836.045,3,0,71328,07/1371328,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_028_07_1371328.jpg
张家潭-同德路,29,3020,150.95,2050.037,18210.233,18268.454,3,0,71329,07/1371329,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_029_07_1371329.jpg
张家潭-同德路,30,3053,152.6,2049.414,17398.534,17669.691,3,0,71330,07/1371330,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_030_07_1371330.jpg
张家潭-同德路,31,3038,151.85,2049.907,17143.726,17200.266,3,0,71331,07/1371331,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_031_07_1371331.jpg
张家潭-同德路,32,2997,149.8,2050.356,17580.947,17677.223,3,0,71332,07/1371332,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_032_07_1371332.jpg
张家潭-同德路,33,3050,152.45,2048.166,15170.144,14918.656,3,1,71333,07/1371333,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_033_07_1371333.jpg
同德路-石碶,0,2124,106.15,1352.436,16328.435,16602.056,2,0,70800,07/0870800,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_000_07_0870800.jpg
同德路-石碶,1,2233,111.6,1351.983,13152.302,13381.008,4,0,70801,07/0870801,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_001_07_0870801.jpg
同德路-石碶,2,2209,110.4,1352.814,11912.514,12066.415,3,0,70802,07/0870802,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_002_07_0870802.jpg
同德路-石碶,3,2183,109.1,1351.836,12593.723,12786.455,3,0,70803,07/0870803,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_003_07_0870803.jpg
同德路-石碶,4,2108,105.35,1352.201,15374.671,15468.166,2,0,70804,07/0870804,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_004_07_0870804.jpg
同德路-石碶,5,2106,105.25,1352.025,14902.324,15084.705,2,0,70805,07/0870805,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_005_07_0870805.jpg
同德路-石碶,6,2204,110.15,1351.9,12024.145,12228.872,3,1,70806,07/0870806,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_006_07_0870806.jpg
同德路-石碶,7,2140,106.95,1351.801,15992.328,16136.243,3,0,70907,07/0970907,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_007_07_0970907.jpg
同德路-石碶,8,2111,105.5,1352.601,16331.762,16546.179,2,0,70908,07/0970908,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_008_07_0970908.jpg
同德路-石碶,9,2235,111.7,1351.878,13247.851,13381.129,4,0,70909,07/0970909,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_009_07_0970909.jpg
同德路-石碶,10,2227,111.3,1351.833,13062.501,13246.583,3,0,70910,07/0970910,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_010_07_0970910.jpg
同德路-石碶,11,2200,109.95,1351.526,12162.439,12261.606,3,0,70911,07/0970911,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_011_07_0970911.jpg
同德路-石碶,12,2146,107.25,1352.531,15479.359,15731.977,3,0,70912,07/0970912,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_012_07_0970912.jpg
同德路-石碶,13,2203,110.1,1352.471,12057.707,12208.819,3,0,70913,07/0970913,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_013_07_0970913.jpg
同德路-石碶,14,2069,103.4,1353.4,14215.732,14455.751,2,1,70914,07/0970914,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_014_07_0970914.jpg
同德路-石碶,15,2113,105.6,1351.669,14443.449,14711.811,2,0,71015,07/1071015,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_015_07_1071015.jpg
同德路-石碶,16,2132,106.55,1352.029,16265.511,16318.447,3,7,71016,07/1071016,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_016_07_1071016.jpg
同德路-石碶,17,2244,112.15,1351.855,13219.173,13341.393,4,0,71017,07/1071017,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_017_07_1071017.jpg
同德路-石碶,18,2174,108.65,1351.975,11918.691,12160.267,3,1,71018,07/1071018,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_018_07_1071018.jpg
同德路-石碶,19,2229,111.4,1351.253,14845.408,14928.515,3,0,71219,07/1271219,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_019_07_1271219.jpg
同德路-石碶,20,2110,105.45,1351.953,15702.556,15990.87,2,0,71220,07/1271220,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_020_07_1271220.jpg
同德路-石碶,21,2199,109.9,1352.217,12282.509,12565.057,3,0,71221,07/1271221,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_021_07_1271221.jpg
同德路-石碶,22,2213,110.6,1351.91,13413.234,13648.644,3,0,71222,07/1271222,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_022_07_1271222.jpg
同德路-石碶,23,2184,109.15,1351.825,12200.706,12313.957,3,0,71223,07/1271223,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_023_07_1271223.jpg
同德路-石碶,24,2125,106.2,1352.424,15041.307,15170.92,2,0,71224,07/1271224,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_024_07_1271224.jpg
同德路-石碶,25,2207,110.3,1352.227,11964.71,12088.136,3,0,71225,07/1271225,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_025_07_1271225.jpg
同德路-石碶,26,2119,105.9,1352.334,11740.311,12101.833,2,1,71226,07/1271226,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\同德路-石碶\seg_026_07_1271226.jpg
