"trip_no","comparison","section_index","站间区间","区间载重(t)","载重来源","全局趟次ID","历史segment","历史来源run_id","归一化区间里程(km)","载重里程(t·km)","规划OT区间里程(km)","历史OT区间里程(km)","规划OT区间机械能(kWh)","历史OT区间机械能(kWh)","规划单位能耗[kWh/(t·km)]","历史单位能耗[kWh/(t·km)]","区间节能率(%)"
"3","standard_dp","3","同德路-石碶","215.34","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","113.0","1.33084","286.583086","1.331","1.331","12.97044444","12.35683333","0.0452589322","0.0431178041","-4.965763"
"3","standard_dp","4","石碶-雅渡","215.34","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","114.0","0.82723","178.135708","0.827","0.827","10.30183333","12.11291667","0.0578313772","0.0679982514","14.95167"
"3","standard_dp","5","雅渡-庙堰","215.34","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","115.0","1.86019","400.573315","1.86","1.86","18.71738889","20.79275","0.0467264998","0.0519074767","9.981177"
"3","standard_dp","6","庙堰-钟公庙","215.54","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","116.0","1.08736","234.369574","1.086","1.086","12.76416667","13.31577778","0.0544617052","0.0568153004","4.142538"
"3","standard_dp","7","钟公庙-鄞州区政府","215.64","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","117.0","0.98478","212.357959","0.984","0.984","8.39022222","10.33166667","0.0395098081","0.0486521283","18.791203"
"3","standard_dp","8","鄞州区政府-钱湖南路","215.74","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","118.0","1.8117","390.856158","1.811","1.811","15.57713889","15.50269444","0.0398538914","0.0396634264","-0.480203"
"3","standard_dp","9","钱湖南路-南高教园区","215.84","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","119.0","1.16899","252.314802","1.155","1.155","13.67630556","13.54738889","0.0542033423","0.0536924065","-0.951598"
"3","standard_dp","10","南高教园区-下应路","216.24","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","120.0","1.45181","313.939394","1.452","1.4519","17.35530556","16.79055556","0.0552823439","0.0534834298","-3.363498"
"3","standard_dp","11","下应路-大洋江","216.24","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","121.0","1.21346","262.39859","1.214","1.214","11.10102778","11.26963889","0.0423059734","0.0429485497","1.496154"
"3","standard_dp","12","大洋江-泗港","216.14","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","122.0","0.95836","207.13993","0.9579","0.958","10.93963889","11.44855556","0.052812796","0.0552696698","4.445248"
"3","standard_dp","13","泗港-曹隘","215.94","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","123.0","1.79815","388.292511","1.7981","1.798","22.53880556","23.45683333","0.0580459445","0.0604102131","3.91369"
"3","standard_dp","14","曹隘-柳隘","215.84","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","124.0","1.30678","282.055395","1.308","1.308","16.20425","20.56208333","0.057450594","0.0729008687","21.19354"
"3","standard_dp","15","柳隘-海晏北路","215.84","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","125.0","0.98108","211.756307","0.98","0.98","11.49480556","12.06897222","0.0542831791","0.0569946293","4.757378"
"3","standard_dp","16","海晏北路-民安东路","216.94","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","126.0","0.86509","187.672625","0.866","0.866","13.49636111","14.94416667","0.0719143836","0.0796289107","9.688098"
"3","standard_dp","17","民安东路-会展中心","216.94","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","127.0","0.72566","157.42468","0.724","0.724","9.70675","11.88352778","0.0616596456","0.0754870694","18.317606"
"3","standard_dp","18","会展中心-院士路","216.84","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","128.0","1.55248","336.639763","1.5619","1.562","14.71","14.72119444","0.0436965612","0.0437298146","0.076043"
"3","standard_dp","19","院士路-盎孟港","216.04","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","129.0","0.99536","215.037574","0.994","0.994","16.58430556","18.01791667","0.0771228266","0.0837896201","7.956586"
"3","standard_dp","20","盎孟港-三官堂","215.84","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","130.0","1.87817","405.384213","1.876","1.876","16.74658333","15.50888889","0.0413103984","0.0382572592","-7.980549"
"3","standard_dp","21","三官堂-兴庄路","215.64","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","131.0","1.08053","233.005489","1.082","1.0819","11.85583333","10.51936111","0.0508822061","0.045146409","-12.70488"
"3","standard_dp","22","兴庄路-兴海南路","215.54","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","132.0","0.95931","206.769677","0.958","0.9581","16.24169444","10.4435","0.0785496919","0.0505078894","-55.519648"
"3","standard_dp","23","兴海南路-梅堰","215.34","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","133.0","0.83362","179.511731","0.833","0.833","11.61494444","12.52541667","0.0647029829","0.0697749201","7.268997"
"3","standard_dp","24","梅堰-永茂路","215.24","traceable_standard_plan_MASS","UP003_20240701_102344_R111","1.0","134.0","3.67559","791.133992","3.6761","3.676","26.35294444","26.46583333","0.0333103428","0.0334530353","0.426546"
"3","standard_dp","25","永茂路-镇海大道","215.34","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","135.0","2.13238","459.186709","2.1311","2.1309","15.94052778","16.06313889","0.0347146977","0.0349817156","0.763307"
"3","standard_dp","26","镇海大道-骆驼桥","215.24","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","136.0","1.5964","343.609136","1.593","1.5929","18.29647222","17.76858333","0.0532479213","0.0517116149","-2.970912"
"3","dwell5_dp","1","布政-张家潭","215.24","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","111.0","1.42832","307.431597","1.428","1.428","13.42766667","12.65486111","0.0436769246","0.0411631766","-6.106788"
"3","dwell5_dp","2","张家潭-同德路","215.24","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","112.0","2.02036","434.862286","2.017","2.017","16.61519444","16.29402778","0.0382079453","0.0374693973","-1.97107"
"3","dwell5_dp","3","同德路-石碶","215.34","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","113.0","1.33084","286.583086","1.331","1.331","12.97044444","12.35683333","0.0452589322","0.0431178041","-4.965763"
"3","dwell5_dp","4","石碶-雅渡","215.34","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","114.0","0.82723","178.135708","0.827","0.827","10.30183333","12.11291667","0.0578313772","0.0679982514","14.95167"
"3","dwell5_dp","5","雅渡-庙堰","215.34","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","115.0","1.86019","400.573315","1.86","1.86","18.71738889","20.79275","0.0467264998","0.0519074767","9.981177"
"3","dwell5_dp","6","庙堰-钟公庙","215.54","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","116.0","1.08736","234.369574","1.086","1.086","12.76416667","13.31577778","0.0544617052","0.0568153004","4.142538"
"3","dwell5_dp","7","钟公庙-鄞州区政府","215.64","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","117.0","0.98478","212.357959","0.984","0.984","8.39022222","10.33166667","0.0395098081","0.0486521283","18.791203"
