trip_no,comparison,primary,reference,primary_duration_s,reference_duration_s,duration_difference_s,primary_distance_km,reference_distance_km,primary_energy_kwh,reference_energy_kwh,energy_difference_kwh,energy_error_pct,error_formula,energy_profile_note,plot,max_mass_t,target_time_s,target_run_time_s,target_dwell_time_s
4,08_energy_first_vs_dwell5_dp,OT Energy-first DP,OT Dwell 5% DP,3811.0,3811.0,0.0,36.5039,36.504,366.7800833333333,375.89186111111115,-9.111777777777831,-2.4240423165439196,(OT Energy-first DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\trip004_08_energy_first_vs_dwell5_dp.png,217.44,3811.35,3023.35,788.0
4,09_energy_first_vs_ot_history,OT Energy-first DP,OT History,3811.0,3811.0,0.0,36.5039,36.5041,366.7800833333333,387.7687222222222,-20.988638888888886,-5.41266937895541,(OT Energy-first DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\trip004_09_energy_first_vs_ot_history.png,217.44,3811.35,3023.35,788.0
5,01_standard_dp_vs_ot_history,OT Standard DP,OT History,3815.0,3815.0,0.0,36.504,36.5039,384.15063888888886,390.57174999999995,-6.421111111111088,-1.644028558417522,(OT Standard DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip005\trip005_01_standard_dp_vs_ot_history.png,216.14,3814.55,3023.55,791.0
5,02_dwell5_dp_vs_ot_history,OT Dwell 5% DP,OT History,3815.0,3815.0,0.0,36.504,36.5039,374.4162777777778,390.57174999999995,-16.15547222222216,-4.136364758132702,(OT Dwell 5% DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip005\trip005_02_dwell5_dp_vs_ot_history.png,216.14,3814.55,3023.55,791.0
5,03_standard_dp_vs_dwell5_dp,OT Standard DP,OT Dwell 5% DP,3815.0,3815.0,0.0,36.504,36.504,384.15063888888886,374.4162777777778,9.73436111111107,2.599876578252982,(OT Standard DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip005\trip005_03_standard_dp_vs_dwell5_dp.png,216.14,3814.55,3023.55,791.0
5,04_standard_dp_vs_real_history,OT Standard DP,Real History,3815.0,3814.5499999999993,0.4500000000007276,36.504,36.53180125,384.15063888888886,405.40095022878455,-21.25031133989569,-5.241801068276543,(OT Standard DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip005\trip005_04_standard_dp_vs_real_history.png,216.14,3814.55,3023.55,791.0
5,05_dwell5_dp_vs_real_history,OT Dwell 5% DP,Real History,3815.0,3814.5499999999993,0.4500000000007276,36.504,36.53180125,374.4162777777778,405.40095022878455,-30.98467245100676,-7.642969863173933,(OT Dwell 5% DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip005\trip005_05_dwell5_dp_vs_real_history.png,216.14,3814.55,3023.55,791.0
5,06_ot_history_vs_real_history,OT History,Real History,3815.0,3814.5499999999993,0.4500000000007276,36.5039,36.53180125,390.57174999999995,405.40095022878455,-14.8292002287846,-3.657909588128954,(OT History - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip005\trip005_06_ot_history_vs_real_history.png,216.14,3814.55,3023.55,791.0
5,07_energy_first_vs_standard_dp,OT Energy-first DP,OT Standard DP,3815.0,3815.0,0.0,36.5039,36.504,366.5506388888889,384.15063888888886,-17.599999999999966,-4.581536048177851,(OT Energy-first DP - OT Standard DP) / OT Standard DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip005\trip005_07_energy_first_vs_standard_dp.png,216.14,3814.55,3023.55,791.0
5,08_energy_first_vs_dwell5_dp,OT Energy-first DP,OT Dwell 5% DP,3815.0,3815.0,0.0,36.5039,36.504,366.5506388888889,374.4162777777778,-7.8656388888888955,-2.100773752565662,(OT Energy-first DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip005\trip005_08_energy_first_vs_dwell5_dp.png,216.14,3814.55,3023.55,791.0
5,09_energy_first_vs_ot_history,OT Energy-first DP,OT History,3815.0,3815.0,0.0,36.5039,36.5039,366.5506388888889,390.57174999999995,-24.021111111111054,-6.150242845549136,(OT Energy-first DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip005\trip005_09_energy_first_vs_ot_history.png,216.14,3814.55,3023.55,791.0
6,01_standard_dp_vs_ot_history,OT Standard DP,OT History,3736.0,3736.0,0.0,36.504,36.504,413.12105555555553,420.00994444444444,-6.888888888888914,-1.6401728054322582,(OT Standard DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip006\trip006_01_standard_dp_vs_ot_history.png,230.7,3736.3,2966.3,770.0
6,02_dwell5_dp_vs_ot_history,OT Dwell 5% DP,OT History,3741.0,3736.0,5.0,36.504,36.504,392.3468611111111,420.00994444444444,-27.66308333333336,-6.586292467413807,(OT Dwell 5% DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip006\trip006_02_dwell5_dp_vs_ot_history.png,230.7,3736.3,2966.3,770.0
