趟次,场景,场景名称,区间序号,区间,选定等级,规划用时(s),生成曲线用时(s),曲线与规划时间差(s),重量(t),代码规划能耗(kWh),Simu物理机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%)
10,dwell5_dp,规划后：历史停站时间放宽 5% DP,19,院士路-盎孟港,class3,91.0,90.95,-0.04999999999999716,216.24,17.83957,17.198023681527072,-0.6415463184729262,-3.59619833030127
10,dwell5_dp,规划后：历史停站时间放宽 5% DP,20,盎孟港-三官堂,class2,132.0,132.0,0.0,215.94,17.5735,17.21273344136971,-0.3607665586302886,-2.052901007939731
10,dwell5_dp,规划后：历史停站时间放宽 5% DP,21,三官堂-兴庄路,class3,104.0,104.05,0.04999999999999716,215.54,10.4749,10.858759737783608,0.3838597377836077,3.664567086880139
10,dwell5_dp,规划后：历史停站时间放宽 5% DP,22,兴庄路-兴海南路,class2,87.0,86.95,-0.04999999999999716,215.24,15.8009,17.688409745950068,1.8875097459500676,11.945583770228705
10,dwell5_dp,规划后：历史停站时间放宽 5% DP,23,兴海南路-梅堰,class3,82.0,81.95,-0.04999999999999716,215.24,11.291649999999999,11.713734083547173,0.4220840835471744,3.7380195414060338
10,dwell5_dp,规划后：历史停站时间放宽 5% DP,24,梅堰-永茂路,class4,329.0,329.0,0.0,215.34,26.36807,25.671523487328482,-0.6965465126715173,-2.6416287300189865
10,dwell5_dp,规划后：历史停站时间放宽 5% DP,25,永茂路-镇海大道,class4,156.0,156.0,0.0,215.34,15.54269,14.489976827164904,-1.0527131728350962,-6.773043616227927
10,dwell5_dp,规划后：历史停站时间放宽 5% DP,26,镇海大道-骆驼桥,class4,128.0,128.0,0.0,215.24,17.268279999999997,16.410815193987226,-0.8574648060127714,-4.965548427595404
12,standard_dp,规划后：标准 DP,1,布政-张家潭,class3,115.0,115.0,0.0,215.24,12.947629999999998,12.909928848727692,-0.03770115127230689,-0.2911818709084743
12,standard_dp,规划后：标准 DP,2,张家潭-同德路,class3,151.0,151.0,0.0,215.24,17.91588,17.397674969314316,-0.5182050306856851,-2.8924341460519107
12,standard_dp,规划后：标准 DP,3,同德路-石碶,class3,109.0,108.95,-0.04999999999999716,215.24,13.094430000000001,13.023890911529268,-0.07053908847073309,-0.5386953725418601
12,standard_dp,规划后：标准 DP,4,石碶-雅渡,class2,80.0,80.0,0.0,215.34,11.04612,10.75397939942932,-0.29214060057068103,-2.644734989033987
12,standard_dp,规划后：标准 DP,5,雅渡-庙堰,class2,129.0,129.0,0.0,215.54,20.52253,20.781455671879897,0.2589256718798971,1.2616654568413208
12,standard_dp,规划后：标准 DP,6,庙堰-钟公庙,class3,96.0,95.95,-0.04999999999999716,215.54,12.48254,12.73708073870593,0.25454073870593064,2.039174228209408
12,standard_dp,规划后：标准 DP,7,钟公庙-鄞州区政府,class3,90.0,90.0,0.0,215.54,10.33224,11.148000931854877,0.8157609318548769,7.895296004108275
12,standard_dp,规划后：标准 DP,8,鄞州区政府-钱湖南路,class3,132.1,132.05,-0.04999999999998295,215.64,16.05129,15.487562795205429,-0.5637272047945725,-3.512036757136482
12,standard_dp,规划后：标准 DP,9,钱湖南路-南高教园区,class3,100.0,100.05,0.04999999999999716,215.54,13.57518,13.950624855179553,0.3754448551795537,2.765671285239339
12,standard_dp,规划后：标准 DP,10,南高教园区-下应路,class3,114.0,114.0,0.0,215.54,18.38662,17.920616364673286,-0.4660036353267145,-2.534471454387563
12,standard_dp,规划后：标准 DP,11,下应路-大洋江,class2,101.0,101.0,0.0,215.74,13.28309,13.522846299749093,0.23975629974909296,1.8049738407937683
12,standard_dp,规划后：标准 DP,12,大洋江-泗港,class3,92.0,92.0,0.0,215.54,10.72052,11.148166570867593,0.4276465708675925,3.9890469013405365
12,standard_dp,规划后：标准 DP,13,泗港-曹隘,class4,137.0,137.0,0.0,215.64,22.92677,23.724152452004684,0.7973824520046833,3.477953728347618
12,standard_dp,规划后：标准 DP,14,曹隘-柳隘,class4,113.0,112.95,-0.04999999999999716,215.44,15.929870000000001,16.4408549252087,0.5109849252086995,3.2077156009979966
