trip_no,trip_label,section_count,historical_run_time_s,historical_dwell_time_s,historical_total_time_s,historical_energy_wh,csv,xlsx
100,trip100,24,2626.5,690.0,3316.5,368641.56,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip100\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip100\Historical_Only_Report.xlsx
101,trip101,24,2625.3,690.0,3315.3,372631.73,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip101\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip101\Historical_Only_Report.xlsx
102,trip102,24,2630.4,690.0,3320.4,374918.2,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip102\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip102\Historical_Only_Report.xlsx
103,trip103,24,2583.8,690.0,3273.8,367702.61,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip103\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip103\Historical_Only_Report.xlsx
104,trip104,24,2553.6,690.0,3243.6,355499.12,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip104\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip104\Historical_Only_Report.xlsx
105,trip105,24,2631.2,690.0,3321.2,362873.38,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip105\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip105\Historical_Only_Report.xlsx
106,trip106,24,2629.2,690.0,3319.2,366638.07,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip106\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip106\Historical_Only_Report.xlsx
107,trip107,24,2627.65,690.0,3317.65,372655.32,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip107\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip107\Historical_Only_Report.xlsx
108,trip108,24,2630.7,690.0,3320.7,369832.58,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip108\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip108\Historical_Only_Report.xlsx
109,trip109,24,2627.3,690.0,3317.3,366039.53,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip109\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip109\Historical_Only_Report.xlsx
110,trip110,24,2627.7,690.0,3317.7,366494.21,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip110\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip110\Historical_Only_Report.xlsx
111,trip111,24,2678.55,690.0,3368.55,339370.15,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip111\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip111\Historical_Only_Report.xlsx
