section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,cruise_min_speed_ratio,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,45,46,07/0870845,0,2352,mps,44.43,63.66,1097,0.92,65.54,65.22,64.13,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,46,47,07/0870846,0,2295,mps,45.52,67.38,997,0.92,68.37,68.27,68.09,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,47,48,07/0870847,1,2335,mps,44.73,63.7,1092,0.92,65.55,65.27,64.2,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,48,49,07/0970948,0,2339,mps,44.67,64.79,1061,0.92,66.83,66.6,65.31,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,49,50,07/0970949,0,2317,mps,45.09,64.9,1065,0.92,66.45,66.23,65.46,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,50,51,07/0970950,0,2327,mps,44.9,65.06,1032,0.92,66.65,66.37,65.47,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,51,52,07/0970951,0,2289,mps,45.63,67.59,983,0.92,68.4,68.35,68.26,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,52,53,07/0970952,0,2347,mps,44.49,64.84,1074,0.92,66.56,66.29,65.34,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,53,54,07/0970953,0,2320,mps,45.02,64.91,1070,0.92,66.6,66.36,65.44,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,54,55,07/0970954,0,2325,mps,44.95,65.06,1034,0.92,65.89,65.81,65.56,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,55,56,07/0970955,1,2263,mps,46.15,73.3,216,0.92,75.36,75.22,73.74,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,56,57,07/1071056,0,2357,mps,44.33,64.88,1087,0.92,66.5,66.29,65.36,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,57,58,07/1071057,0,2332,mps,44.79,64.83,1062,0.92,66.22,65.95,65.22,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,58,59,07/1071058,0,2334,mps,44.77,64.7,1077,0.92,66.29,65.98,65.02,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,59,60,07/1071059,1,2390,mps,43.69,68.48,177,0.92,71.13,70.67,67.35,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,60,61,07/1571560,0,2377,mps,43.3,62.61,1107,0.92,64.33,64.03,63.09,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,61,62,07/1571561,0,2291,mps,44.89,73.01,180,0.92,75.17,75.04,72.37,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,62,63,07/1571562,0,2361,mps,43.56,63.88,1074,0.92,65.43,65.13,64.17,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,63,64,07/1571563,0,2358,mps,43.65,63.75,1081,0.92,65,64.92,63.97,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,64,65,07/1571564,0,2348,mps,43.81,63.8,1074,0.92,65.06,64.85,64.14,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,65,66,07/1571565,0,2337,mps,44.01,65.19,1041,0.92,66.21,65.87,65.51,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,66,67,07/1671666,0,2338,mps,43.99,63.77,1066,0.92,65.1,64.91,64.08,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,67,68,07/1671667,0,2324,mps,44.25,63.84,1062,0.92,65.21,65.02,64.15,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,68,69,07/1671668,0,2343,mps,43.9,65.03,1043,0.92,66.29,65.86,65.34,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,69,70,07/1671669,0,2341,mps,43.95,63.93,1079,0.92,65.21,65,64.2,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,70,71,07/1671670,0,2345,mps,43.87,65.12,1050,0.92,65.77,65.63,65.5,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,71,72,07/1671671,0,2326,mps,44.21,65.03,1034,0.92,65.71,65.62,65.47,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,72,73,07/1671672,1,2345,mps,43.89,63.78,1080,0.92,65.25,65.04,64.15,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,73,74,07/1771773,0,2369,mps,43.42,62.71,1122,0.92,64.27,63.95,63.21,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,74,75,07/1871874,0,2383,mps,43.15,62.82,1116,0.92,64.98,64.76,63.2,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,75,76,07/1871875,0,2280,mps,45.11,73.51,180,0.92,75.72,75.63,72.85,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,76,77,07/1871876,0,2350,mps,43.78,62.61,1102,0.92,64.58,64.23,63.15,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,77,78,07/1871877,0,2330,mps,44.14,63.88,1066,0.92,65.59,65.36,64.46,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,78,79,07/1871878,0,2326,mps,44.23,64.03,1054,0.92,65.54,65.33,64.56,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,79,80,07/1871879,0,2340,mps,43.96,63.9,1085,0.92,65.81,65.53,64.38,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,80,81,07/1871880,0,2334,mps,44.11,64.04,1052,0.92,65.64,65.44,64.56,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,81,82,07/1871881,1,2368,mps,43.44,66.7,222,0.92,68.68,68.55,66.75,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,82,83,07/1971982,0,2319,mps,44.36,64.02,1025,0.92,65.75,65.46,64.49,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,83,84,07/1971983,0,2338,mps,43.99,63.92,1092,0.92,64.92,64.84,64.59,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,84,85,07/1971984,0,2278,mps,45.14,73.45,177,0.92,75.68,75.59,72.72,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,85,86,07/1971985,0,2303,mps,44.67,65.14,1036,0.92,66.22,66.08,65.86,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,86,87,07/1971986,0,2270,mps,45.31,73.37,180,0.92,75.6,75.44,72.72,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,87,88,07/1971987,0,2316,mps,44.42,66.6,999,0.92,67.65,67.35,67.11,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,88,89,07/1971988,1,2366,mps,43.48,62.66,1122,0.92,64.49,64.23,63.16,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,89,90,07/2672689,0,2352,mps,44.43,63.65,1083,0.92,65.6,65.3,64.05,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,90,91,07/2672690,0,2349,mps,44.49,64.95,1070,0.92,66.78,66.51,65.38,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,91,92,07/2672691,0,2364,mps,44.2,63.65,1125,0.92,65.36,64.99,64.19,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,92,93,07/2672692,0,2383,mps,43.84,61.29,1191,0.92,62.26,62.14,61.83,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,93,94,07/2672693,6,2282,mps,45.76,74.52,178,0.92,76.8,76.65,73.83,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,94,95,07/2672694,0,2286,mps,45.71,74.44,177,0.92,76.7,76.53,73.73,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,95,96,07/2672695,1,2379,mps,43.93,63.68,1118,0.92,65.57,65.31,64.15,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,96,97,07/2772796,0,2415,mps,43.25,61.47,1187,0.92,62.82,62.55,61.81,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,97,98,07/2772797,0,2355,mps,44.38,63.48,1104,0.92,65.09,64.79,63.9,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,98,99,07/2772798,0,2369,mps,44.14,63.66,1117,0.92,65.15,64.79,63.93,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,99,100,07/2772799,0,2297,mps,45.52,74.09,182,0.92,76.23,76.11,73.47,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,100,101,07/2772800,0,2364,mps,44.2,63.43,1111,0.92,65.03,64.7,63.72,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,101,102,07/2772801,0,2364,mps,44.21,63.6,1112,0.92,65.09,64.72,63.95,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,102,103,07/2772802,0,2345,mps,44.56,64.9,1082,0.92,66.16,65.89,65.21,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,103,104,07/2772803,1,2286,mps,45.74,70.61,201,0.92,73.23,72.74,70.32,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,104,105,07/2872904,0,2355,mps,44.36,64.8,1088,0.92,66.03,65.78,65.42,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,105,106,07/2872905,0,2322,mps,45.01,64.59,1085,0.92,65.71,65.6,65.43,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,106,107,07/2872906,0,2369,mps,44.12,63.67,1122,0.92,65.54,65.25,64.18,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,107,108,07/2872907,0,2368,mps,44.12,63.74,1115,0.92,65.85,65.58,64.23,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,108,109,07/2872908,0,2374,mps,44.02,63.57,1125,0.92,65.45,65.17,64.08,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,109,110,07/2872909,0,2358,mps,44.32,64.82,1085,0.92,66.64,66.41,65.41,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,110,111,07/2872910,1,2326,mps,44.93,64.77,1068,0.92,66.68,66.43,65.3,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,111,112,07/2973011,0,2359,mps,44.31,63.68,1124,0.92,65.62,65.35,64.23,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,112,113,07/2973012,0,2335,mps,44.75,65.11,1022,0.92,66.78,66.57,65.5,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
