trip_no,tsvp_file,sections,history_dwell_s,status,valid_for_stats,flag,opentrack_points,history_points,opentrack_duration_s,history_duration_s,duration_error_s,duration_error_pct,opentrack_distance_km,history_distance_km,distance_ratio,distance_error_km,distance_error_pct,opentrack_energy_kwh,history_energy_kwh,energy_error_kwh,energy_error_pct,plot,error
21,D:\OutPut\OT_priority_history_trip021.tsvP,5,30.0,ok,True,ok,551,11661,733.0,702.8,30.200000000000045,4.297097324985779,7.463,7.467127222222233,0.9994472811163642,-0.004127222222233051,-0.05527188836357848,77.26147222222222,82.31202528912515,-5.050553066902921,-6.135862954607906,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip021_vs_history_trip021_vt_vs_et_es.jpg,
22,D:\OutPut\OT_priority_history_trip022.tsvP,5,30.0,ok,True,ok,559,11844,742.0,711.95,30.049999999999955,4.220802022613941,7.463,7.468355694444443,0.999282881712714,-0.00535569444444306,-0.07171182872860556,73.40947222222222,76.93237078916673,-3.522898566944505,-4.579214875099864,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip022_vs_history_trip022_vt_vs_et_es.jpg,
23,D:\OutPut\OT_priority_history_trip023.tsvP,5,30.0,ok,True,ok,553,11383,719.0,688.9,30.100000000000023,4.369284366381191,7.463,7.466070277777771,0.999588769236889,-0.0030702777777706913,-0.04112307631109709,75.23677777777777,75.21779366723618,0.0189841105415951,0.02523885588240049,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip023_vs_history_trip023_vt_vs_et_es.jpg,
24,D:\OutPut\OT_priority_history_trip024.tsvP,5,30.0,ok,True,ok,556,11699,735.0,704.7,30.299999999999955,4.299702000851419,7.463,7.469616527777777,0.9991142078374209,-0.006616527777777215,-0.08857921625791468,75.70416666666667,79.78784705616678,-4.083680389500117,-5.118173431381603,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip024_vs_history_trip024_vt_vs_et_es.jpg,
25,D:\OutPut\OT_priority_history_trip025.tsvP,5,30.0,ok,True,ok,551,11729,736.0,706.1999999999999,29.800000000000068,4.21976777116965,7.463,7.467495138888891,0.9993980392614544,-0.0044951388888909705,-0.060196073854556456,76.9078611111111,81.90824016936102,-5.000379058249919,-6.104854710479281,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip025_vs_history_trip025_vt_vs_et_es.jpg,
26,D:\OutPut\OT_priority_history_trip026.tsvP,5,30.0,ok,True,ok,543,11580,729.0,698.75,30.25,4.3291592128801435,7.463,7.46587624999999,0.9996147471638054,-0.0028762499999901436,-0.038525283619456556,77.70124999999999,83.01032033572916,-5.309070335729174,-6.3956750368593065,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip026_vs_history_trip026_vt_vs_et_es.jpg,
27,D:\OutPut\OT_priority_history_trip027.tsvP,5,30.0,ok,True,ok,550,11779,739.0,708.7,30.299999999999955,4.275433893043594,7.463,7.464734999999995,0.9997675737986688,-0.001734999999994713,-0.023242620133128826,76.81072222222222,83.95396053302765,-7.14323831080543,-8.50851855642387,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip027_vs_history_trip027_vt_vs_et_es.jpg,
28,D:\OutPut\OT_priority_history_trip028.tsvP,5,30.0,ok,True,ok,560,11828,741.0,711.1499999999999,29.850000000000136,4.197426703227188,7.463,7.467099861111107,0.9994509433130178,-0.004099861111106939,-0.05490566869822039,73.47411111111111,77.69082714671526,-4.216716035604151,-5.427559713891438,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip028_vs_history_trip028_vt_vs_et_es.jpg,
29,D:\OutPut\OT_priority_history_trip029.tsvP,5,30.0,ok,True,ok,557,11843,742.0,711.9,30.100000000000023,4.228121927236975,7.463,7.466000416666673,0.9995981226226596,-0.003000416666672834,-0.040187737734046665,74.20961111111112,78.32929537641664,-4.119684265305523,-5.259442518291664,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip029_vs_history_trip029_vt_vs_et_es.jpg,
30,D:\OutPut\OT_priority_history_trip030.tsvP,5,30.0,ok,True,ok,559,11847,742.0,712.1,29.899999999999977,4.19884847633759,7.463,7.468565555555551,0.9992548026104677,-0.005565555555550716,-0.07451973895322823,74.48283333333333,78.30779318774303,-3.8249598544096983,-4.884520044179195,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip030_vs_history_trip030_vt_vs_et_es.jpg,
