time,velocity,cumulative_energy
8.200000000000001,4.1000000000000005,575.9893145315175
8.25,4.125,582.7777960286327
8.3,4.15,589.6040590928442
8.35,4.175,596.4680670347465
8.4,4.2,603.3697985296363
8.450000000000001,4.2250000000000005,610.3091928985813
8.5,4.25,617.2861985056204
8.55,4.275,624.3007633683544
8.6,4.3,631.3528261858548
8.65,4.325,638.4423798757068
8.700000000000001,4.3500000000000005,645.5694120573418
8.75,4.375,652.7339100872742
8.8,4.4,659.9358370967508
8.85,4.425,667.1755553623249
8.9,4.45,674.4534746969043
8.950000000000001,4.4750000000000005,681.7696536339806
9.0,4.5,689.1250267458344
9.05,4.525,696.5197273082465
9.1,4.55,703.953706711038
9.15,4.575,711.4269260861232
9.200000000000001,4.6000000000000005,718.9393572007467
9.25,4.625,726.4909803705316
9.3,4.65,734.0818897205352
9.35,4.675,741.712074971937
9.4,4.7,749.3815562074711
9.450000000000001,4.7250000000000005,757.090297086429
9.5,4.75,764.838305575909
9.55,4.775,772.6255624246743
9.600000000000001,4.800000000000001,780.4520115066625
9.65,4.825,788.3176871359981
9.700000000000001,4.8500000000000005,796.2226482629823
9.75,4.875,804.1668602776265
9.8,4.9,812.1502962179077
9.850000000000001,4.925000000000001,820.1729213913617
9.9,4.95,828.2346964145336
9.950000000000001,4.9750000000000005,836.3356861699025
10.0,5.0,844.4760357252595
10.05,5.025,852.6557275040574
10.100000000000001,5.050000000000001,860.8747460919437
10.15,5.075,869.133051593192
10.200000000000001,5.1000000000000005,877.4306032338637
10.25,5.125,885.7676489209107
10.3,5.15,894.1442696836273
10.350000000000001,5.175000000000001,902.5603249563519
10.4,5.2,911.0156388427605
10.450000000000001,5.2250000000000005,919.5101578891514
10.5,5.25,928.0438661476283
10.55,5.275,936.6167740894489
10.600000000000001,5.300000000000001,945.2289732623069
10.65,5.325,953.8805300746876
10.700000000000001,5.3500000000000005,962.5714875242437
10.75,5.375,971.3018048181408
10.8,5.4,980.0713615452407
10.850000000000001,5.425000000000001,988.8800655603746
10.9,5.45,997.7277814586428
10.950000000000001,5.4750000000000005,1006.6145331118778
11.0,5.5,1015.5403621075005
11.05,5.525,1024.5052705875585
11.100000000000001,5.550000000000001,1033.5092180895788
11.15,5.575,1042.5522486235755
11.200000000000001,5.6000000000000005,1051.6343299778368
11.25,5.625,1060.756305485808
11.3,5.65,1069.9182289106543
11.350000000000001,5.675000000000001,1079.1200896548971
11.4,5.7,1088.3618866701024
11.450000000000001,5.7250000000000005,1097.6436240460687
