section,segment,rows,duration_s,distance_m,real_energy_wh,mlp_energy_wh,mlp_error_pct,run_class,quality_label,service_no,date_service,source_file,figure
布政-张家潭,113,2378,118.85,1451.51,12872.848,13235.636,2.818,4,0,73013,07/2973013,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_113_07_2973013.jpg
布政-张家潭,114,2396,119.75,1451.12,13236.666,13685.486,3.391,4,0,73014,07/2973014,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_114_07_2973014.jpg
布政-张家潭,115,2287,114.3,1451.234,13294.634,13276.959,-0.133,3,0,73015,07/2973015,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_115_07_2973015.jpg
布政-张家潭,116,2319,115.9,1451.456,14310.343,14300.78,-0.067,3,0,73016,07/2973016,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_116_07_2973016.jpg
布政-张家潭,117,2359,117.9,1451.838,13043.445,13386.467,2.63,3,1,73017,07/2973017,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_117_07_2973017.jpg
布政-张家潭,118,2360,117.95,1450.969,13795.616,14090.146,2.135,3,0,73118,07/3073118,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_118_07_3073118.jpg
布政-张家潭,119,2362,118.05,1451.556,13783.323,14084.011,2.182,4,0,73119,07/3073119,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_119_07_3073119.jpg
布政-张家潭,120,2385,119.2,1451.217,13823.211,14204.973,2.762,4,0,73120,07/3073120,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_120_07_3073120.jpg
布政-张家潭,121,2278,113.85,1451.037,15828.542,15958.894,0.824,3,0,73121,07/3073121,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_121_07_3073121.jpg
布政-张家潭,122,2375,118.7,1451.992,13925.681,14326.96,2.882,4,0,73122,07/3073122,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_122_07_3073122.jpg
布政-张家潭,123,2351,117.5,1451.09,13660.883,13918.743,1.888,3,0,73123,07/3073123,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_123_07_3073123.jpg
布政-张家潭,124,2372,118.55,1450.947,14328.54,14525.249,1.373,4,1,73124,07/3073124,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_124_07_3073124.jpg
