segment,区段,列车运行方向,运行等级,曲线质量标签,是否是晚上八点以后的趟次,起始时刻s,结束时刻s,来源文件,运行时长s
17,布政-张家潭,UP,class3,0,0,0.0,116.65,results_布政-张家潭.xlsx,116.65
18,布政-张家潭,UP,class4,1,1,0.0,119.45,results_布政-张家潭.xlsx,119.45
19,布政-张家潭,UP,class4,0,0,0.0,119.5,results_布政-张家潭.xlsx,119.5
20,布政-张家潭,UP,class3,6,0,0.0,113.75,results_布政-张家潭.xlsx,113.75
21,布政-张家潭,UP,class3,0,0,0.0,116.25,results_布政-张家潭.xlsx,116.25
22,布政-张家潭,UP,class3,0,0,0.0,117.05,results_布政-张家潭.xlsx,117.05
23,布政-张家潭,UP,class4,0,0,0.0,118.7,results_布政-张家潭.xlsx,118.7
24,布政-张家潭,UP,class3,0,0,0.0,116.6,results_布政-张家潭.xlsx,116.6
25,布政-张家潭,UP,class3,0,0,0.0,116.6,results_布政-张家潭.xlsx,116.6
26,布政-张家潭,UP,class3,1,1,0.0,115.65,results_布政-张家潭.xlsx,115.65
27,布政-张家潭,UP,class3,0,0,0.0,117.05,results_布政-张家潭.xlsx,117.05
28,布政-张家潭,UP,class4,0,0,0.0,118.15,results_布政-张家潭.xlsx,118.15
29,布政-张家潭,UP,class4,0,0,0.0,118.3,results_布政-张家潭.xlsx,118.3
30,布政-张家潭,UP,class3,0,0,0.0,116.9,results_布政-张家潭.xlsx,116.9
31,布政-张家潭,UP,class3,0,0,0.0,117.25,results_布政-张家潭.xlsx,117.25
32,布政-张家潭,UP,class4,0,0,0.0,119.0,results_布政-张家潭.xlsx,119.0
33,布政-张家潭,UP,class3,1,1,0.0,113.8,results_布政-张家潭.xlsx,113.8
0,庙堰-雅渡,DOWN,class4,0,0,0.0,138.45,results_庙堰-雅渡.xlsx,138.45
1,庙堰-雅渡,DOWN,class4,0,0,0.0,137.25,results_庙堰-雅渡.xlsx,137.25
2,庙堰-雅渡,DOWN,class4,0,0,0.0,138.15,results_庙堰-雅渡.xlsx,138.15
3,庙堰-雅渡,DOWN,class4,0,0,0.0,137.8,results_庙堰-雅渡.xlsx,137.8
4,庙堰-雅渡,DOWN,class4,0,0,0.0,136.3,results_庙堰-雅渡.xlsx,136.3
5,庙堰-雅渡,DOWN,class4,0,0,0.0,138.2,results_庙堰-雅渡.xlsx,138.2
6,庙堰-雅渡,DOWN,class4,1,1,0.0,136.6,results_庙堰-雅渡.xlsx,136.6
7,庙堰-雅渡,DOWN,class4,0,0,0.0,137.25,results_庙堰-雅渡.xlsx,137.25
8,庙堰-雅渡,DOWN,class4,0,0,0.0,137.1,results_庙堰-雅渡.xlsx,137.1
9,庙堰-雅渡,DOWN,class4,0,0,0.0,137.6,results_庙堰-雅渡.xlsx,137.6
10,庙堰-雅渡,DOWN,class4,0,0,0.0,137.0,results_庙堰-雅渡.xlsx,137.0
11,庙堰-雅渡,DOWN,class4,0,0,0.0,137.65,results_庙堰-雅渡.xlsx,137.65
12,庙堰-雅渡,DOWN,class4,0,0,0.0,136.8,results_庙堰-雅渡.xlsx,136.8
13,庙堰-雅渡,DOWN,class4,1,1,0.0,136.55,results_庙堰-雅渡.xlsx,136.55
14,庙堰-雅渡,DOWN,class4,0,0,0.0,138.5,results_庙堰-雅渡.xlsx,138.5
15,庙堰-雅渡,DOWN,class4,0,0,0.0,136.65,results_庙堰-雅渡.xlsx,136.65
16,庙堰-雅渡,DOWN,class4,0,0,0.0,136.7,results_庙堰-雅渡.xlsx,136.7
17,庙堰-雅渡,DOWN,class4,1,1,0.0,137.75,results_庙堰-雅渡.xlsx,137.75
18,庙堰-雅渡,DOWN,class3,0,0,0.0,134.55,results_庙堰-雅渡.xlsx,134.55
19,庙堰-雅渡,DOWN,class3,0,0,0.0,133.15,results_庙堰-雅渡.xlsx,133.15
20,庙堰-雅渡,DOWN,class4,0,0,0.0,136.1,results_庙堰-雅渡.xlsx,136.1
21,庙堰-雅渡,DOWN,class4,0,0,0.0,138.2,results_庙堰-雅渡.xlsx,138.2
22,庙堰-雅渡,DOWN,class4,0,0,0.0,137.8,results_庙堰-雅渡.xlsx,137.8
23,庙堰-雅渡,DOWN,class4,0,0,0.0,136.85,results_庙堰-雅渡.xlsx,136.85
24,庙堰-雅渡,DOWN,class4,0,0,0.0,137.8,results_庙堰-雅渡.xlsx,137.8
25,庙堰-雅渡,DOWN,class4,1,1,0.0,137.55,results_庙堰-雅渡.xlsx,137.55
26,庙堰-雅渡,DOWN,class4,0,0,0.0,136.8,results_庙堰-雅渡.xlsx,136.8
27,庙堰-雅渡,DOWN,class4,0,0,0.0,136.75,results_庙堰-雅渡.xlsx,136.75
28,庙堰-雅渡,DOWN,class4,0,0,0.0,136.4,results_庙堰-雅渡.xlsx,136.4
29,庙堰-雅渡,DOWN,class4,0,0,0.0,136.7,results_庙堰-雅渡.xlsx,136.7
30,庙堰-雅渡,DOWN,class4,0,0,0.0,136.0,results_庙堰-雅渡.xlsx,136.0
31,庙堰-雅渡,DOWN,class4,0,0,0.0,136.75,results_庙堰-雅渡.xlsx,136.75
