section,segment,rows,duration_s,distance_m,real_energy_wh,mlp_energy_wh,mlp_error_pct,run_class,quality_label,service_no,date_service,source_file,figure
雅渡-庙堰,33,2623,131.1,1859.603,21726.969,21319.016,-1.878,3,0,70633,07/0670633,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_33_07_0670633.jpg
雅渡-庙堰,34,2674,133.65,1860.935,20647.106,20672.898,0.125,3,0,70634,07/0670634,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_34_07_0670634.jpg
雅渡-庙堰,35,2609,130.4,1860.653,21589.603,21260.656,-1.524,2,0,70635,07/0670635,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_35_07_0670635.jpg
雅渡-庙堰,36,2595,129.7,1860.832,21501.223,21177.844,-1.504,2,0,70636,07/0670636,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_36_07_0670636.jpg
雅渡-庙堰,37,2634,131.65,1859.811,20829.79,20673.243,-0.752,3,0,70637,07/0670637,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_37_07_0670637.jpg
雅渡-庙堰,38,2633,131.6,1860.444,21711.127,21545.001,-0.765,3,0,70638,07/0670638,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_38_07_0670638.jpg
雅渡-庙堰,39,2628,131.35,1859.892,21666.808,21476.313,-0.879,3,0,70639,07/0670639,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_39_07_0670639.jpg
雅渡-庙堰,40,2512,125.55,1860.449,18915.201,17998.147,-4.848,1,1,70640,07/0670640,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_40_07_0670640.jpg
雅渡-庙堰,41,2675,133.7,1889.598,20805.038,21142.862,1.624,3,0,70841,07/0870841,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_41_07_0870841.jpg
雅渡-庙堰,42,2729,136.4,1889.168,19589.375,19724.559,0.69,4,0,70842,07/0870842,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_42_07_0870842.jpg
雅渡-庙堰,43,2623,131.1,1889.199,21079.578,21298.889,1.04,3,0,70843,07/0870843,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_43_07_0870843.jpg
雅渡-庙堰,44,2738,136.85,1889.729,19520.258,19627.582,0.55,4,0,70844,07/0870844,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_44_07_0870844.jpg
雅渡-庙堰,45,2602,130.05,1889.56,21163.427,21341.576,0.842,2,0,70845,07/0870845,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_45_07_0870845.jpg
雅渡-庙堰,46,2680,133.95,1890.098,20122.794,20661.888,2.679,3,0,70846,07/0870846,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_46_07_0870846.jpg
雅渡-庙堰,47,2624,131.15,1890.175,21081.358,21304.764,1.06,3,1,70847,07/0870847,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_47_07_0870847.jpg
雅渡-庙堰,48,2658,132.85,1889.697,19916.739,20274.647,1.797,3,0,70948,07/0970948,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_48_07_0970948.jpg
雅渡-庙堰,49,2661,133.0,1889.485,21239.447,21730.221,2.311,3,0,70949,07/0970949,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_49_07_0970949.jpg
雅渡-庙堰,50,2662,133.05,1889.623,20740.955,21082.79,1.648,3,0,70950,07/0970950,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_50_07_0970950.jpg
雅渡-庙堰,51,2731,136.5,1889.911,19541.402,19725.682,0.943,4,0,70951,07/0970951,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_51_07_0970951.jpg
雅渡-庙堰,52,2725,136.2,1889.885,19705.389,20004.399,1.517,4,0,70952,07/0970952,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_52_07_0970952.jpg
雅渡-庙堰,53,2656,132.75,1889.814,21271.595,21808.2,2.523,3,0,70953,07/0970953,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_53_07_0970953.jpg
雅渡-庙堰,54,2620,130.95,1889.331,21306.152,21593.658,1.349,3,0,70954,07/0970954,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_54_07_0970954.jpg
雅渡-庙堰,55,2567,128.3,1889.991,21121.87,20882.422,-1.134,2,1,70955,07/0970955,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_55_07_0970955.jpg
雅渡-庙堰,56,2638,131.85,1889.381,20681.87,21092.049,1.983,3,0,71056,07/1071056,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_56_07_1071056.jpg
雅渡-庙堰,57,2605,130.2,1889.445,21911.201,21952.561,0.189,2,0,71057,07/1071057,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_57_07_1071057.jpg
雅渡-庙堰,58,2624,131.15,1889.933,21769.098,22160.227,1.797,3,0,71058,07/1071058,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_58_07_1071058.jpg
雅渡-庙堰,59,2713,135.6,1889.641,16666.723,16840.793,1.044,4,1,71059,07/1071059,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_59_07_1071059.jpg
