# step: energy_menu
# command: C:\Users\bit11\AppData\Local\Programs\Python\Python311\python.exe D:\energy_conservation\scripts\ato_generated_results_energy.py
# ENERGY_TRIP_NO: 1
# ENERGY_TRIP_INDEX: 0
# PYTHONIOENCODING: utf-8:replace
# started: 2026-05-25T15:29:59

🚀 开始批量评估 26 个区间的 ATO 轨迹能耗：第 1 趟车...
   ✅ 梅堰-永茂路 | class5 | 345.0s -> 总:23992.7Wh (物理:25348.9Wh + 残差:-1356.2Wh)
   ✅ 民安东路-会展中心 | class2 | 76.0s -> 总:10421.7Wh (物理:10023.3Wh + 残差:398.4Wh)
   ✅ 民安东路-会展中心 | class3 | 78.95s -> 总:7763.3Wh (物理:7938.9Wh + 残差:-175.6Wh)
   ✅ 民安东路-会展中心 | class4 | 83.0s -> 总:5589.4Wh (物理:6365.9Wh + 残差:-776.5Wh)
   ✅ 民安东路-会展中心 | class5 | 87.95s -> 总:4477.5Wh (物理:5126.2Wh + 残差:-648.6Wh)
   ✅ 永茂路-镇海大道 | class2 | 141.0s -> 总:17519.7Wh (物理:21216.7Wh + 残差:-3697.0Wh)
   ✅ 永茂路-镇海大道 | class3 | 148.0s -> 总:16080.1Wh (物理:18879.4Wh + 残差:-2799.3Wh)
   ✅ 永茂路-镇海大道 | class4 | 156.0s -> 总:14716.2Wh (物理:16931.9Wh + 残差:-2215.7Wh)
   ✅ 永茂路-镇海大道 | class5 | 164.05s -> 总:13828.9Wh (物理:15592.5Wh + 残差:-1763.6Wh)
   ✅ 泗港-曹隘 | class4 | 137.05s -> 总:24202.3Wh (物理:23125.3Wh + 残差:1077.0Wh)
   ✅ 泗港-曹隘 | class5 | 143.0s -> 总:22380.3Wh (物理:20846.3Wh + 残差:1534.0Wh)
   ✅ 海晏北路-民安东路 | class2 | 82.95s -> 总:15382.5Wh (物理:11634.0Wh + 残差:3748.5Wh)
   ✅ 海晏北路-民安东路 | class3 | 85.0s -> 总:13429.6Wh (物理:10070.2Wh + 残差:3359.4Wh)
   ✅ 海晏北路-民安东路 | class4 | 89.0s -> 总:11077.1Wh (物理:8213.2Wh + 残差:2863.8Wh)
   ✅ 海晏北路-民安东路 | class5 | 94.0s -> 总:9183.3Wh (物理:6848.7Wh + 残差:2334.7Wh)
   ✅ 盎孟港-三官堂 | class2 | 132.0s -> 总:19184.6Wh (物理:20457.2Wh + 残差:-1272.6Wh)
   ✅ 盎孟港-三官堂 | class3 | 139.0s -> 总:16930.9Wh (物理:18111.9Wh + 残差:-1181.0Wh)
   ✅ 盎孟港-三官堂 | class4 | 146.0s -> 总:15874.1Wh (物理:16619.5Wh + 残差:-745.4Wh)
   ✅ 盎孟港-三官堂 | class5 | 153.0s -> 总:15482.7Wh (物理:15441.0Wh + 残差:41.8Wh)
   ✅ 石碶-雅渡 | class2 | 79.95s -> 总:11051.3Wh (物理:10910.2Wh + 残差:141.1Wh)
   ✅ 石碶-雅渡 | class3 | 82.0s -> 总:10040.1Wh (物理:9329.3Wh + 残差:710.8Wh)
   ✅ 石碶-雅渡 | class4 | 86.0s -> 总:8082.7Wh (物理:7389.3Wh + 残差:693.4Wh)
   ✅ 石碶-雅渡 | class5 | 90.0s -> 总:6559.6Wh (物理:6164.0Wh + 残差:395.6Wh)
   ✅ 鄞州区政府-钱湖南路 | class2 | 128.0s -> 总:18400.8Wh (物理:21284.4Wh + 残差:-2883.6Wh)
   ✅ 鄞州区政府-钱湖南路 | class3 | 132.0s -> 总:18511.9Wh (物理:19887.6Wh + 残差:-1375.8Wh)
