t_local,v_ms,s_local
100.10000000000001,12.95,1720.3333522727355
100.15,12.925,1720.9796022727355
100.2,12.900000000000002,1721.6246022727355
100.25,12.875000000000004,1722.2683522727355
100.30000000000001,12.849999999999998,1722.9108522727354
100.35000000000001,12.825,1723.5521022727353
100.4,12.8,1724.1921022727354
100.45,12.775000000000002,1724.8308522727355
100.5,12.750000000000004,1725.4683522727355
100.55000000000001,12.724999999999998,1726.1046022727355
100.60000000000001,12.7,1726.7396022727355
100.65,12.675,1727.3733522727355
100.7,12.650000000000002,1728.0058522727354
100.75,12.625000000000004,1728.6371022727353
100.80000000000001,12.599999999999998,1729.2671022727354
100.85000000000001,12.575,1729.8958522727355
100.9,12.55,1730.5233522727356
100.95,12.525000000000002,1731.1496022727356
101.0,12.500000000000004,1731.7746022727356
101.05000000000001,12.474999999999998,1732.3983522727356
101.10000000000001,12.45,1733.0208522727355
101.15,12.425,1733.6421022727354
101.2,12.400000000000002,1734.2621022727353
101.25,12.375000000000004,1734.8808522727354
101.30000000000001,12.349999999999998,1735.4983522727355
101.35000000000001,12.325,1736.1146022727355
101.4,12.3,1736.7296022727355
101.45,12.275000000000002,1737.3433522727355
101.5,12.250000000000004,1737.9558522727355
101.55000000000001,12.224999999999998,1738.5671022727354
101.60000000000001,12.2,1739.1771022727353
101.65,12.175,1739.7858522727354
101.7,12.150000000000002,1740.3933522727355
101.75,12.125000000000004,1740.9996022727355
101.80000000000001,12.099999999999998,1741.6046022727355
101.85000000000001,12.075,1742.2083522727355
101.9,12.05,1742.8108522727355
101.95,12.025000000000002,1743.4121022727354
102.0,12.000000000000004,1744.0121022727353
102.05000000000001,11.974999999999998,1744.6108522727354
102.10000000000001,11.95,1745.2083522727355
102.15,11.925,1745.8046022727356
102.2,11.900000000000002,1746.3996022727356
102.25,11.875000000000004,1746.9933522727356
102.30000000000001,11.849999999999998,1747.5858522727356
102.35000000000001,11.825,1748.1771022727355
102.4,11.8,1748.7671022727354
102.45,11.775000000000002,1749.3558522727353
102.5,11.750000000000004,1749.9433522727354
102.55000000000001,11.724999999999998,1750.5296022727355
102.60000000000001,11.7,1751.1146022727355
102.65,11.675,1751.6983522727355
102.7,11.650000000000002,1752.2808522727355
102.75,11.625000000000004,1752.8621022727355
102.80000000000001,11.599999999999998,1753.4421022727354
102.85000000000001,11.575,1754.0208522727353
102.9,11.55,1754.5983522727354
102.95,11.525000000000002,1755.1746022727355
103.0,11.500000000000004,1755.7496022727355
103.05000000000001,11.474999999999998,1756.3233522727355
103.10000000000001,11.45,1756.8958522727355
103.15,11.425,1757.4671022727355
103.2,11.400000000000002,1758.0371022727354
103.25,11.375000000000004,1758.6058522727353
103.30000000000001,11.349999999999998,1759.1733522727354
103.35000000000001,11.325,1759.7396022727355
