趟次,场景,场景名称,区间数,最大区间列车质量(t),历史运行时间(s),历史停站时间(s),代码或历史能耗(kWh),新版Simu机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%),Simu与代码绝对差值(kWh),Simu与代码绝对误差(%),代码数值复现版本,图文件
12,energy_first,Energy First,26,216.720000,3023.150000,784.000000,385.517370,386.096272,0.578902,0.150162,0.578902,0.150162,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip012\02_energy_first.png
12,dwell5_dp,停站放宽 5% DP,26,216.720000,3023.150000,784.000000,387.432060,389.980947,2.548887,0.657893,2.548887,0.657893,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip012\03_dwell5_dp.png
14,history,历史运行,26,218.520000,2948.900000,780.000000,445.976296,441.500619,-4.475676,-1.003568,4.475676,1.003568,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip014\00_history.png
14,standard_dp,标准 DP,26,218.520000,2948.900000,780.000000,419.193640,422.356074,3.162434,0.754409,3.162434,0.754409,current_v2;legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip014\01_standard_dp.png
14,energy_first,Energy First,26,218.520000,2948.900000,780.000000,415.633050,416.854453,1.221403,0.293866,1.221403,0.293866,current_v2;legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip014\02_energy_first.png
14,dwell5_dp,停站放宽 5% DP,26,218.520000,2948.900000,780.000000,406.747210,407.536863,0.789653,0.194138,0.789653,0.194138,current_v2;legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip014\03_dwell5_dp.png
15,history,历史运行,26,216.520000,3023.800000,788.000000,403.279510,399.355510,-3.923999,-0.973022,3.923999,0.973022,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip015\00_history.png
15,standard_dp,标准 DP,26,216.520000,3023.800000,788.000000,396.262220,397.917057,1.654837,0.417612,1.654837,0.417612,current_v2;legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip015\01_standard_dp.png
15,energy_first,Energy First,26,216.520000,3023.800000,788.000000,380.037410,381.638436,1.601026,0.421281,1.601026,0.421281,current_v2;legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip015\02_energy_first.png
15,dwell5_dp,停站放宽 5% DP,26,216.520000,3023.800000,788.000000,386.620750,389.300019,2.679269,0.692997,2.679269,0.692997,current_v2;legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip015\03_dwell5_dp.png
16,history,历史运行,26,216.340000,2964.550000,775.000000,438.862254,433.783182,-5.079072,-1.157327,5.079072,1.157327,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip016\00_history.png
16,standard_dp,标准 DP,26,216.340000,2964.550000,775.000000,414.119250,421.199857,7.080607,1.709799,7.080607,1.709799,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip016\01_standard_dp.png
16,energy_first,Energy First,26,216.340000,2964.550000,775.000000,412.971080,420.538818,7.567738,1.832510,7.567738,1.832510,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip016\02_energy_first.png
16,dwell5_dp,停站放宽 5% DP,26,216.340000,2964.550000,775.000000,394.374070,399.280821,4.906751,1.244187,4.906751,1.244187,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip016\03_dwell5_dp.png
19,history,历史运行,26,217.820000,3024.100000,778.000000,404.663754,400.666669,-3.997085,-0.987755,3.997085,0.987755,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip019\00_history.png
19,standard_dp,标准 DP,26,217.820000,3024.100000,778.000000,390.244500,396.599030,6.354530,1.628346,6.354530,1.628346,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip019\01_standard_dp.png
19,energy_first,Energy First,26,217.820000,3024.100000,778.000000,376.551470,378.602527,2.051057,0.544695,2.051057,0.544695,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip019\02_energy_first.png
19,dwell5_dp,停站放宽 5% DP,26,217.820000,3024.100000,778.000000,383.758910,389.771942,6.013032,1.566877,6.013032,1.566877,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip019\03_dwell5_dp.png
21,history,历史运行,26,230.700000,2963.250000,774.000000,450.713561,445.064129,-5.649432,-1.253442,5.649432,1.253442,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip021\00_history.png
21,standard_dp,标准 DP,26,230.700000,2963.250000,774.000000,433.145710,433.490274,0.344564,0.079549,0.344564,0.079549,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip021\01_standard_dp.png
21,energy_first,Energy First,26,230.700000,2963.250000,774.000000,428.656450,427.119855,-1.536595,-0.358468,1.536595,0.358468,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip021\02_energy_first.png
21,dwell5_dp,停站放宽 5% DP,26,230.700000,2963.250000,774.000000,412.576910,410.792065,-1.784845,-0.432609,1.784845,0.432609,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip021\03_dwell5_dp.png
35,history,历史运行,26,218.300000,3023.250000,791.000000,413.384442,410.266059,-3.118383,-0.754354,3.118383,0.754354,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip035\00_history.png
35,standard_dp,标准 DP,26,218.300000,3023.250000,791.000000,395.593770,399.726064,4.132294,1.044580,4.132294,1.044580,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip035\01_standard_dp.png
35,energy_first,Energy First,26,218.300000,3023.250000,791.000000,385.260960,387.213461,1.952501,0.506800,1.952501,0.506800,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip035\02_energy_first.png
35,dwell5_dp,停站放宽 5% DP,26,218.300000,3023.250000,791.000000,386.109830,391.983002,5.873172,1.521114,5.873172,1.521114,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip035\03_dwell5_dp.png
40,history,历史运行,26,217.720000,3025.050000,788.000000,418.775661,415.710733,-3.064928,-0.731878,3.064928,0.731878,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip040\00_history.png
40,standard_dp,标准 DP,26,217.720000,3025.050000,788.000000,392.046530,396.505812,4.459282,1.137437,4.459282,1.137437,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip040\01_standard_dp.png
40,energy_first,Energy First,26,217.720000,3025.050000,788.000000,377.365960,379.262250,1.896290,0.502507,1.896290,0.502507,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip040\02_energy_first.png
40,dwell5_dp,停站放宽 5% DP,26,217.720000,3025.050000,788.000000,385.110010,390.052092,4.942082,1.283291,4.942082,1.283291,current_v2,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip040\03_dwell5_dp.png
42,history,历史运行,26,247.700000,2965.550000,773.000000,454.405230,467.675793,13.270563,2.920425,13.270563,2.920425,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip042\00_history.png
