section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,58,59,07/1071058,0,2334,auto,66.29,65.9767,65.02,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,59,60,07/1071059,1,2390,auto,71.13,70.6666,67.351,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,60,61,07/1571560,0,2377,auto,64.33,64.0296,63.092,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,61,62,07/1571561,0,2291,auto,75.17,75.04,72.365,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,62,63,07/1571562,0,2361,auto,65.43,65.134,64.17,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,63,64,07/1571563,0,2358,auto,65,64.92,63.97,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,64,65,07/1571564,0,2348,auto,65.06,64.8459,64.14,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,65,66,07/1571565,0,2337,auto,66.21,65.8692,65.51,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,66,67,07/1671666,0,2338,auto,65.1,64.9126,64.08,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,67,68,07/1671667,0,2324,auto,65.21,65.0231,64.1485,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,68,69,07/1671668,0,2343,auto,66.29,65.8648,65.34,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,69,70,07/1671669,0,2341,auto,65.21,64.996,64.2,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,70,71,07/1671670,0,2345,auto,65.77,65.6256,65.5,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,71,72,07/1671671,0,2326,auto,65.71,65.62,65.47,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,72,73,07/1671672,1,2345,auto,65.25,65.0412,64.15,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,73,74,07/1771773,0,2369,auto,64.27,63.9496,63.206,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,74,75,07/1871874,0,2383,auto,64.98,64.76,63.2,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,75,76,07/1871875,0,2280,auto,75.72,75.63,72.85,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,76,77,07/1871876,0,2350,auto,64.58,64.23,63.15,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,77,78,07/1871877,0,2330,auto,65.59,65.36,64.46,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,78,79,07/1871878,0,2326,auto,65.54,65.3325,64.56,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,79,80,07/1871879,0,2340,auto,65.81,65.5344,64.38,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,80,81,07/1871880,0,2334,auto,65.64,65.4434,64.56,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,81,82,07/1871881,1,2368,auto,68.68,68.5533,66.75,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,82,83,07/1971982,0,2319,auto,65.75,65.46,64.49,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,83,84,07/1971983,0,2338,auto,64.92,64.8363,64.59,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,84,85,07/1971984,0,2278,auto,75.68,75.59,72.722,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,85,86,07/1971985,0,2303,auto,66.22,66.0796,65.86,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,86,87,07/1971986,0,2270,auto,75.6,75.4431,72.72,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,87,88,07/1971987,0,2316,auto,67.65,67.354,67.11,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,88,89,07/1971988,1,2366,auto,64.49,64.227,63.16,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,89,90,07/2672689,0,2352,auto,65.6,65.3049,64.05,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,90,91,07/2672690,0,2349,auto,66.78,66.5056,65.38,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,91,92,07/2672691,0,2364,auto,65.36,64.9911,64.19,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,92,93,07/2672692,0,2383,auto,62.26,62.1418,61.83,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,93,94,07/2672693,6,2282,auto,76.8,76.6519,73.835,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,94,95,07/2672694,0,2286,auto,76.7,76.5315,73.7275,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,95,96,07/2672695,1,2379,auto,65.57,65.3144,64.15,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,96,97,07/2772796,0,2415,auto,62.82,62.5472,61.81,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,97,98,07/2772797,0,2355,auto,65.09,64.79,63.9,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,98,99,07/2772798,0,2369,auto,65.15,64.786,63.93,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,99,100,07/2772799,0,2297,auto,76.23,76.11,73.47,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,100,101,07/2772800,0,2364,auto,65.03,64.7022,63.72,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,101,102,07/2772801,0,2364,auto,65.09,64.72,63.95,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,102,103,07/2772802,0,2345,auto,66.16,65.8856,65.21,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,103,104,07/2772803,1,2286,auto,73.23,72.7415,70.32,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,104,105,07/2872904,0,2355,auto,66.03,65.78,65.42,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,105,106,07/2872905,0,2322,auto,65.71,65.6,65.4295,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,106,107,07/2872906,0,2369,auto,65.54,65.246,64.18,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,107,108,07/2872907,0,2368,auto,65.85,65.5799,64.23,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
