send_order,section,selected_class,planned_time_s,speed_method,speed_base_kmh,cruise_avg_speed_kmh,cruise_point_count,curve_peak_speed_kmh,peak_speed_kmh,speed_margin_kmh,speed_limit_kmh,opentrack_speed_unit,opentrack_speed_value,curve_path,curve_source,sample_reliability,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
11,下应路-大洋江,class2,101.0,peak,73.0005,,,,73.0005,0,73.0005,kmh,73.0005,,real,strong,single-route,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],0,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""73.0005"" startRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" startRouteOffset=""0"" endRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" endRouteOffset=""999999""/>",
12,大洋江-泗港,class3,92.0,peak,60.955,,,,60.955,0,60.955,kmh,60.955,,real,strong,single-route,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],0,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""60.955"" startRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" startRouteOffset=""0"" endRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" endRouteOffset=""999999""/>",
13,泗港-曹隘,class4,137.0,peak,75.5316,,,,75.5316,0,75.5316,kmh,75.5316,,real,strong,single-route,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""75.5316"" startRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" startRouteOffset=""0"" endRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" endRouteOffset=""999999""/>",
14,曹隘-柳隘,class5,119.0,peak,54.6398,,,,54.6398,0,54.6398,kmh,54.6398,,extrapolated_adjacent,generated,single-route,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""54.6398"" startRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" startRouteOffset=""0"" endRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" endRouteOffset=""999999""/>",
15,柳隘-海晏北路,class3,92.0,peak,64.8124,,,,64.8124,0,64.8124,kmh,64.8124,,real,strong,single-route,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""64.8124"" startRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" startRouteOffset=""0"" endRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" endRouteOffset=""999999""/>",
16,海晏北路-民安东路,class3,85.0,peak,67.8617,,,,67.8617,0,67.8617,kmh,67.8617,,real,strong,single-route,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""67.8617"" startRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" startRouteOffset=""0"" endRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" endRouteOffset=""999999""/>",
17,民安东路-会展中心,class4,83.0,peak,48.5512,,,,48.5512,0,48.5512,kmh,48.5512,,extrapolated_adjacent,generated,single-route,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""48.5512"" startRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" startRouteOffset=""0"" endRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" endRouteOffset=""999999""/>",
18,会展中心-院士路,class3,115.0,peak,77.6321,,,,77.6321,0,77.6321,kmh,77.6321,,real,strong,single-route,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""77.6321"" startRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" startRouteOffset=""0"" endRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" endRouteOffset=""999999""/>",
19,院士路-盎孟港,class4,96.0,peak,56.5362,,,,56.5362,0,56.5362,kmh,56.5362,,extrapolated_adjacent,generated,single-route,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""56.5362"" startRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" startRouteOffset=""0"" endRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" endRouteOffset=""999999""/>",
20,盎孟港-三官堂,class2,132.0,peak,76.317,,,,76.317,0,76.317,kmh,76.317,,real,strong,single-route,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""76.317"" startRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" startRouteOffset=""0"" endRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" endRouteOffset=""999999""/>",
21,三官堂-兴庄路,class1,94.0,peak,76.0601,,,,76.0601,0,76.0601,kmh,76.0601,,extrapolated_adjacent,generated,single-route,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],0,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""76.0601"" startRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" startRouteOffset=""0"" endRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" endRouteOffset=""999999""/>",
22,兴庄路-兴海南路,class4,96.0,peak,53.818,,,,53.818,0,53.818,kmh,53.818,,extrapolated_adjacent,generated,single-route,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],0,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""53.818"" startRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" startRouteOffset=""0"" endRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" endRouteOffset=""999999""/>",
23,兴海南路-梅堰,class3,82.0,peak,69.8334,,,,69.8334,0,69.8334,kmh,69.8334,,real,strong,single-route,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],0,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""69.8334"" startRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" startRouteOffset=""0"" endRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" endRouteOffset=""999999""/>",
24,梅堰-永茂路,class3,313.0,peak,67.3094,,,,67.3094,0,67.3094,kmh,67.3094,,real,strong,single-route,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],0,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""67.3094"" startRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" startRouteOffset=""0"" endRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" endRouteOffset=""999999""/>",
25,永茂路-镇海大道,class5,164.1,peak,61.0206,,,,61.0206,0,61.0206,kmh,61.0206,,extrapolated_adjacent,generated,single-route,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],0,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""61.0206"" startRouteID=""editSpeed-2180-R:STA_25_[2180]-STA_26_[2281]"" startRouteOffset=""0"" endRouteID=""editSpeed-2180-R:STA_25_[2180]-STA_26_[2281]"" endRouteOffset=""999999""/>",
26,镇海大道-骆驼桥,class2,116.0,peak,79.6939,,,,79.6939,0,79.6939,kmh,79.6939,,real,strong,single-route,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],0,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""79.6939"" startRouteID=""editSpeed-2281-R:STA_26_[2281]-STA_27_[2343]"" startRouteOffset=""0"" endRouteID=""editSpeed-2281-R:STA_26_[2281]-STA_27_[2343]"" endRouteOffset=""999999""/>",end_offset_defaulted
