send_order,section,selected_class,planned_time_s,speed_method,speed_base_kmh,cruise_avg_speed_kmh,cruise_point_count,curve_peak_speed_kmh,peak_speed_kmh,speed_margin_kmh,speed_limit_kmh,opentrack_speed_unit,opentrack_speed_value,curve_path,curve_source,sample_reliability,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
13,泗港-曹隘,class4,137.0,cruise-avg,73.763314,73.763314,834,75.53156,75.5316,0,73.763314,kmh,73.763314,D:\energy_conservation\output\ato_generated_results_new_v4\泗港-曹隘\class4_generated_curve.csv,real,strong,single-route,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""73.763314"" startRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" startRouteOffset=""0"" endRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" endRouteOffset=""999999""/>",
14,曹隘-柳隘,class5,119.0,cruise-avg,53.700819,53.700819,1139,54.638627,54.6398,0,53.700819,kmh,53.700819,D:\energy_conservation\output\ato_generated_results_new_v4\曹隘-柳隘\class5_generated_curve.csv,extrapolated_adjacent,generated,single-route,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""53.700819"" startRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" startRouteOffset=""0"" endRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" endRouteOffset=""999999""/>",
15,柳隘-海晏北路,class3,92.0,cruise-avg,64.027127,64.027127,519,64.810751,64.8124,0,64.027127,kmh,64.027127,D:\energy_conservation\output\ato_generated_results_new_v4\柳隘-海晏北路\class3_generated_curve.csv,real,strong,single-route,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""64.027127"" startRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" startRouteOffset=""0"" endRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" endRouteOffset=""999999""/>",
16,海晏北路-民安东路,class4,89.0,cruise-avg,54.240585,54.240585,610,54.640265,54.6404,0,54.240585,kmh,54.240585,D:\energy_conservation\output\ato_generated_results_new_v4\海晏北路-民安东路\class4_generated_curve.csv,extrapolated_adjacent,generated,single-route,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""54.240585"" startRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" startRouteOffset=""0"" endRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" endRouteOffset=""999999""/>",
17,民安东路-会展中心,class4,83.0,cruise-avg,48.055397,48.055397,547,48.551351,48.5512,0,48.055397,kmh,48.055397,D:\energy_conservation\output\ato_generated_results_new_v4\民安东路-会展中心\class4_generated_curve.csv,extrapolated_adjacent,generated,single-route,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""48.055397"" startRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" startRouteOffset=""0"" endRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" endRouteOffset=""999999""/>",
18,会展中心-院士路,class3,115.0,cruise-avg,76.853676,76.853676,725,77.63171,77.6321,0,76.853676,kmh,76.853676,D:\energy_conservation\output\ato_generated_results_new_v4\会展中心-院士路\class3_generated_curve.csv,real,strong,single-route,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""76.853676"" startRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" startRouteOffset=""0"" endRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" endRouteOffset=""999999""/>",
19,院士路-盎孟港,class4,96.0,cruise-avg,56.055764,56.055764,674,56.536047,56.5362,0,56.055764,kmh,56.055764,D:\energy_conservation\output\ato_generated_results_new_v4\院士路-盎孟港\class4_generated_curve.csv,extrapolated_adjacent,generated,single-route,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""56.055764"" startRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" startRouteOffset=""0"" endRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" endRouteOffset=""999999""/>",
20,盎孟港-三官堂,class3,138.9,cruise-avg,68.074819,68.074819,1361,68.9438,68.9399,0,68.074819,kmh,68.074819,D:\energy_conservation\output\ato_generated_results_new_v4\盎孟港-三官堂\class3_generated_curve.csv,real,strong,single-route,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""68.074819"" startRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" startRouteOffset=""0"" endRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" endRouteOffset=""999999""/>",
21,三官堂-兴庄路,class1,94.0,cruise-avg,75.686895,75.686895,307,76.059528,76.0601,0,75.686895,kmh,75.686895,D:\energy_conservation\output\ato_generated_results_new_v4\三官堂-兴庄路\class1_generated_curve.csv,extrapolated_adjacent,generated,single-route,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],0,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""75.686895"" startRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" startRouteOffset=""0"" endRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" endRouteOffset=""999999""/>",
22,兴庄路-兴海南路,class4,96.0,cruise-avg,53.199226,53.199226,786,53.820204,53.818,0,53.199226,kmh,53.199226,D:\energy_conservation\output\ato_generated_results_new_v4\兴庄路-兴海南路\class4_generated_curve.csv,extrapolated_adjacent,generated,single-route,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],0,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""53.199226"" startRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" startRouteOffset=""0"" endRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" endRouteOffset=""999999""/>",
23,兴海南路-梅堰,class3,82.0,cruise-avg,69.380896,69.380896,167,69.832265,69.8334,0,69.380896,kmh,69.380896,D:\energy_conservation\output\ato_generated_results_new_v4\兴海南路-梅堰\class3_generated_curve.csv,real,strong,single-route,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],0,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""69.380896"" startRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" startRouteOffset=""0"" endRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" endRouteOffset=""999999""/>",
24,梅堰-永茂路,class3,313.0,cruise-avg,66.40269,66.40269,1489,67.307558,67.3094,0,66.40269,kmh,66.40269,D:\energy_conservation\output\ato_generated_results_new_v4\梅堰-永茂路\class3_generated_curve.csv,real,strong,single-route,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],0,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""66.40269"" startRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" startRouteOffset=""0"" endRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" endRouteOffset=""999999""/>",
25,永茂路-镇海大道,class2,141.0,cruise-avg,79.377281,79.377281,1174,79.691509,79.6934,0,79.377281,kmh,79.377281,D:\energy_conservation\output\ato_generated_results_new_v4\永茂路-镇海大道\class2_generated_curve.csv,real,strong,single-route,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],0,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""79.377281"" startRouteID=""editSpeed-2180-R:STA_25_[2180]-STA_26_[2281]"" startRouteOffset=""0"" endRouteID=""editSpeed-2180-R:STA_25_[2180]-STA_26_[2281]"" endRouteOffset=""999999""/>",
26,镇海大道-骆驼桥,class2,116.0,cruise-avg,79.356095,79.356095,721,79.692183,79.6939,0,79.356095,kmh,79.356095,D:\energy_conservation\output\ato_generated_results_new_v4\镇海大道-骆驼桥\class2_generated_curve.csv,real,strong,single-route,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],0,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""79.356095"" startRouteID=""editSpeed-2281-R:STA_26_[2281]-STA_27_[2343]"" startRouteOffset=""0"" endRouteID=""editSpeed-2281-R:STA_26_[2281]-STA_27_[2343]"" endRouteOffset=""999999""/>",end_offset_defaulted
