message,trainID,stationID,time,delay,received_at
trainDeparture,priority_history,STA_18,31112.0,0.0,2026-07-02T15:05:06
trainDeparture,priority_history,STA_18,31112.0,0.0,2026-07-02T15:10:52
trainDeparture,priority_history,STA_18,31112.0,0.0,2026-07-02T15:11:35
trainPass,priority_history,STA_18,31113.0,0.0,2026-07-02T15:05:06
trainPass,priority_history,STA_18,31113.0,0.0,2026-07-02T15:10:52
trainPass,priority_history,STA_18,31113.0,0.0,2026-07-02T15:11:35
trainArrival,priority_history,STA_19,31228.0,1.0,2026-07-02T15:05:06
trainArrival,priority_history,STA_19,31228.0,1.0,2026-07-02T15:10:52
trainArrival,priority_history,STA_19,31228.0,1.0,2026-07-02T15:11:35
trainDeparture,priority_history,STA_19,31258.0,1.0,2026-07-02T15:05:06
trainDeparture,priority_history,STA_19,31258.0,1.0,2026-07-02T15:10:52
trainDeparture,priority_history,STA_19,31258.0,1.0,2026-07-02T15:11:35
trainPass,priority_history,STA_19,31259.0,0.0,2026-07-02T15:05:06
trainPass,priority_history,STA_19,31259.0,0.0,2026-07-02T15:10:52
trainPass,priority_history,STA_19,31259.0,0.0,2026-07-02T15:11:35
trainArrival,priority_history,STA_20,31341.0,-7.0,2026-07-02T15:05:06
trainArrival,priority_history,STA_20,31341.0,-7.0,2026-07-02T15:10:52
trainArrival,priority_history,STA_20,31341.0,-7.0,2026-07-02T15:11:35
trainDeparture,priority_history,STA_20,31378.0,0.0,2026-07-02T15:05:06
trainDeparture,priority_history,STA_20,31378.0,0.0,2026-07-02T15:10:52
trainDeparture,priority_history,STA_20,31378.0,0.0,2026-07-02T15:11:35
trainPass,priority_history,STA_20,31379.0,0.0,2026-07-02T15:05:06
trainPass,priority_history,STA_20,31379.0,0.0,2026-07-02T15:10:52
trainPass,priority_history,STA_20,31379.0,0.0,2026-07-02T15:11:35
trainArrival,priority_history,STA_21,31510.0,1.0,2026-07-02T15:05:06
trainArrival,priority_history,STA_21,31510.0,1.0,2026-07-02T15:10:52
trainArrival,priority_history,STA_21,31510.0,1.0,2026-07-02T15:11:36
