站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,DP候选阶段
庙堰-钟公庙,class4,101.0,10870.5,58.1883,extrapolated_adjacent,class3,class3,0,84,generated,allow_extrapolated
钟公庙-鄞州区政府,class3,90.0,10332.24,68.6183,real,class3,class3,108,108,strong,real_only
钟公庙-鄞州区政府,class4,95.0,7971.63,59.8645,real,class4,class4,1,1,weak,real_only
钟公庙-鄞州区政府,class5,99.0,6122.38,53.292,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated
鄞州区政府-钱湖南路,class2,128.0,18572.34,77.1065,real,class2,class2,45,45,strong,real_only
鄞州区政府-钱湖南路,class3,132.1,16125.88,71.1313,real,class3,class3,62,62,strong,real_only
鄞州区政府-钱湖南路,class4,139.0,15320.86,64.1845,extrapolated_adjacent,class3,class3,0,62,generated,allow_extrapolated
钱湖南路-南高教园区,class3,100.0,13662.47,70.3357,real,class3,class3,63,63,strong,real_only
钱湖南路-南高教园区,class4,105.0,11855.41,60.2913,extrapolated_adjacent,class3,class3,0,63,generated,allow_extrapolated
南高教园区-下应路,class2,110.0,20908.64,78.6937,real,class2,class2,44,44,strong,real_only
南高教园区-下应路,class3,114.0,18468.87,70.8315,real,class3,class3,63,63,strong,real_only
南高教园区-下应路,class4,120.0,16654.79,62.5044,extrapolated_adjacent,class3,class3,0,63,generated,allow_extrapolated
下应路-大洋江,class2,101.0,13361.39,73.0005,real,class2,class2,41,41,strong,real_only
下应路-大洋江,class3,106.0,11319.31,62.6717,real,class3,class3,65,65,strong,real_only
下应路-大洋江,class4,111.0,11734.36,58.9497,real,class4,class4,1,1,weak,real_only
下应路-大洋江,class5,117.0,10740.14,52.235,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated
大洋江-泗港,class3,92.0,10778.43,60.955,real,class3,class3,99,99,strong,real_only
大洋江-泗港,class4,96.0,9577.33,53.4127,extrapolated_adjacent,class3,class3,0,99,generated,allow_extrapolated
泗港-曹隘,class2,128.1,20259.76,78.3111,real,class2,class2,6,6,strong,real_only
泗港-曹隘,class4,137.0,23011.05,75.5316,real,class4,class4,82,82,strong,real_only
泗港-曹隘,class5,143.0,21238.76,66.4822,extrapolated_adjacent,class4,class4,0,82,generated,allow_extrapolated
曹隘-柳隘,class2,106.0,21442.87,79.8019,real,class2,class2,68,68,strong,real_only
曹隘-柳隘,class3,108.0,19883.49,73.3086,real,class3,class3,38,38,strong,real_only
曹隘-柳隘,class4,113.0,15975.51,61.633,real,class4,class4,1,1,weak,real_only
曹隘-柳隘,class5,119.0,13527.88,54.6398,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated
柳隘-海晏北路,class3,92.0,11482.88,64.8124,real,class3,class3,35,35,strong,real_only
柳隘-海晏北路,class4,96.0,10279.24,55.7057,extrapolated_adjacent,class3,class3,0,35,generated,allow_extrapolated
海晏北路-民安东路,class3,85.0,14842.03,67.8617,real,class3,class3,41,41,strong,real_only
海晏北路-民安东路,class4,89.0,12461.1,54.6404,extrapolated_adjacent,class3,class3,0,41,generated,allow_extrapolated
民安东路-会展中心,class2,76.0,15285.39,79.546,real,class2,class2,96,96,strong,real_only
民安东路-会展中心,class3,79.0,11742.24,60.2777,real,class3,class3,8,8,strong,real_only
民安东路-会展中心,class4,83.0,6997.48,48.5512,extrapolated_adjacent,class3,class3,0,8,generated,allow_extrapolated
会展中心-院士路,class3,115.0,15070.9,77.6321,real,class3,class3,104,104,strong,real_only
会展中心-院士路,class4,121.0,13439.66,67.4907,extrapolated_adjacent,class3,class3,0,104,generated,allow_extrapolated
院士路-盎孟港,class3,91.0,17956.7,72.2139,real,class3,class3,99,99,strong,real_only
院士路-盎孟港,class4,96.0,14155.64,56.5362,extrapolated_adjacent,class3,class3,0,99,generated,allow_extrapolated
盎孟港-三官堂,class2,132.0,17682.59,76.317,real,class2,class2,52,52,strong,real_only
盎孟港-三官堂,class3,138.9,17183.8,68.9399,real,class3,class3,52,52,strong,real_only
盎孟港-三官堂,class4,146.0,16548.17,63.6563,extrapolated_adjacent,class3,class3,0,52,generated,allow_extrapolated
三官堂-兴庄路,class1,94.0,13141.37,76.0601,extrapolated_adjacent,class2,class2,0,46,generated,allow_extrapolated
三官堂-兴庄路,class2,99.0,11591.56,61.7533,real,class2,class2,46,46,strong,real_only
三官堂-兴庄路,class3,104.0,10539.58,53.7287,real,class3,class3,58,58,strong,real_only
三官堂-兴庄路,class4,109.0,9994.74,48.7312,extrapolated_adjacent,class3,class3,0,58,generated,allow_extrapolated
兴庄路-兴海南路,class2,87.0,15872.82,79.8469,real,class2,class2,30,30,strong,real_only
兴庄路-兴海南路,class4,96.0,9518.66,53.818,extrapolated_adjacent,class3,class3,0,72,generated,allow_extrapolated
兴海南路-梅堰,class3,82.0,11310.93,69.8334,real,class3,class3,73,73,strong,real_only
兴海南路-梅堰,class4,86.0,9580.99,53.8927,extrapolated_adjacent,class3,class3,0,73,generated,allow_extrapolated
梅堰-永茂路,class3,313.0,29923.51,67.3094,real,class3,class3,20,20,strong,real_only
梅堰-永茂路,class4,329.0,26368.47,57.9722,real,class4,class4,26,26,strong,real_only
梅堰-永茂路,class5,345.1,23479.11,52.7569,extrapolated_adjacent,class4,class4,0,26,generated,allow_extrapolated
永茂路-镇海大道,class2,141.0,17124.26,79.6934,real,class2,class2,59,59,strong,real_only
永茂路-镇海大道,class3,148.0,17114.11,72.5627,interpolated,class2,class2|class4,0,59,generated,allow_interpolated
永茂路-镇海大道,class4,156.0,15542.69,66.5855,real,class4,class4,1,1,weak,real_only
永茂路-镇海大道,class5,164.1,14995.71,61.0206,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated
镇海大道-骆驼桥,class2,116.0,20051.62,79.6939,real,class2,class2,101,101,strong,real_only
镇海大道-骆驼桥,class3,122.0,19266.04,71.8166,real,class3,class3,1,1,weak,real_only
镇海大道-骆驼桥,class4,128.0,17274.17,65.0024,real,class4,class4,1,1,weak,real_only
镇海大道-骆驼桥,class5,134.0,15832.28,59.131,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated
