站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh)
海晏北路-民安东路,class2,83.0,14404.31,64.0059
海晏北路-民安东路,class3,85.0,13664.7,58.5746
海晏北路-民安东路,class4,89.0,12219.27,51.2251
海晏北路-民安东路,class5,94.0,10675.62,45.4695
盎孟港-三官堂,class2,132.0,18956.78,74.5809
盎孟港-三官堂,class3,139.0,16659.92,67.2227
盎孟港-三官堂,class4,146.0,15613.64,61.3399
盎孟港-三官堂,class5,153.0,15100.67,56.8791
石碶-雅渡,class2,80.0,11060.18,65.6969
石碶-雅渡,class3,82.0,10248.14,58.9722
石碶-雅渡,class4,86.0,8219.08,51.2931
石碶-雅渡,class5,90.0,6712.27,46.2604
鄞州区政府-钱湖南路,class2,128.0,17598.15,75.2654
鄞州区政府-钱湖南路,class3,132.0,17569.11,70.3642
鄞州区政府-钱湖南路,class4,139.0,16251.69,63.3465
鄞州区政府-钱湖南路,class5,146.0,14203.75,58.1933
钟公庙-鄞州区政府,class2,86.0,12585.57,78.3722
钟公庙-鄞州区政府,class3,90.0,9367.06,63.8249
钟公庙-鄞州区政府,class4,95.0,6879.31,54.5346
钟公庙-鄞州区政府,class5,99.0,5941.44,49.7275
钱湖南路-南高教园区,class2,96.0,15027.04,73.8768
钱湖南路-南高教园区,class3,100.0,13107.22,66.4269
钱湖南路-南高教园区,class4,105.0,11394.04,58.6912
钱湖南路-南高教园区,class5,111.0,8644.7,52.2934
镇海大道-骆驼桥,class2,116.0,20171.07,77.3134
镇海大道-骆驼桥,class3,122.0,17463.1,67.7742
镇海大道-骆驼桥,class4,128.0,15053.14,61.2803
镇海大道-骆驼桥,class5,134.0,13906.19,56.3925
院士路-盎孟港,class2,87.8,19533.49,78.8098
院士路-盎孟港,class3,91.0,14989.52,63.5155
院士路-盎孟港,class4,96.0,13593.09,54.3431
院士路-盎孟港,class5,100.0,12808.35,49.4775
雅渡-庙堰,class2,129.0,19621.37,76.807
雅渡-庙堰,class3,132.0,20345.21,73.3262
雅渡-庙堰,class4,139.0,18047.97,65.7034
雅渡-庙堰,class5,146.0,16567.94,60.1433
