站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh)
永茂路-镇海大道,class3,148.0,16080.13,71.1078
永茂路-镇海大道,class4,156.0,14716.23,64.4531
永茂路-镇海大道,class5,164.1,13828.93,59.2947
泗港-曹隘,class4,137.1,24202.33,72.0647
泗港-曹隘,class5,143.0,22380.28,64.9559
海晏北路-民安东路,class2,83.0,16105.5,64.0059
海晏北路-民安东路,class3,85.0,13429.61,58.5746
海晏北路-民安东路,class4,89.0,11077.05,51.2251
海晏北路-民安东路,class5,94.0,9183.31,45.4695
盎孟港-三官堂,class2,132.0,16231.59,74.5809
盎孟港-三官堂,class3,139.0,15930.93,67.2227
盎孟港-三官堂,class4,146.0,15874.14,61.3399
盎孟港-三官堂,class5,153.0,15482.73,56.8791
石碶-雅渡,class2,80.0,11051.26,65.6969
石碶-雅渡,class3,82.0,10040.1,58.9722
石碶-雅渡,class4,86.0,8082.67,51.2931
石碶-雅渡,class5,90.0,6559.62,46.2604
鄞州区政府-钱湖南路,class2,128.0,18900.75,75.2654
鄞州区政府-钱湖南路,class3,132.0,18511.87,70.3642
鄞州区政府-钱湖南路,class4,139.0,16997.82,63.3465
鄞州区政府-钱湖南路,class5,146.0,16144.53,58.1933
钟公庙-鄞州区政府,class2,86.0,13671.56,78.3723
钟公庙-鄞州区政府,class3,90.0,9944.26,63.8249
钟公庙-鄞州区政府,class4,95.0,7515.46,54.5346
钟公庙-鄞州区政府,class5,99.0,6587.89,49.7275
钱湖南路-南高教园区,class2,96.0,16932.86,73.8768
钱湖南路-南高教园区,class3,100.0,15168.8,66.4269
钱湖南路-南高教园区,class4,105.0,13224.5,58.6912
钱湖南路-南高教园区,class5,111.0,10126.43,52.2934
镇海大道-骆驼桥,class2,116.0,20147.72,77.3134
镇海大道-骆驼桥,class3,122.0,17450.3,67.7742
镇海大道-骆驼桥,class4,128.0,15110.92,61.2803
镇海大道-骆驼桥,class5,134.0,13914.57,56.3925
院士路-盎孟港,class2,88.0,20941.94,76.4121
院士路-盎孟港,class3,91.0,17026.79,63.7239
院士路-盎孟港,class4,96.0,14204.61,54.4365
院士路-盎孟港,class5,100.0,13033.87,49.6633
雅渡-庙堰,class2,129.0,21678.45,76.8071
雅渡-庙堰,class3,132.0,19958.59,73.3262
雅渡-庙堰,class4,139.0,18593.56,65.7034
雅渡-庙堰,class5,146.0,16614.48,60.1433
