趟次,场景,场景名称,区间数,最大载重(t),历史运行时间(s),历史停站时间(s),代码或历史能耗(kWh),Simu机械能耗(kWh),OpenTrack机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%),OT-代码(kWh),OT相对代码误差(%),OT-Simu(kWh),OT相对Simu误差(%),代码未逐点复现区间数,图文件
14,history,历史运行,26,218.520000,2948.900000,780.000000,445.976296,441.500619,418.229667,-4.475676,-1.003568,-27.746629,-6.221548,-23.270953,-5.270877,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip014\00_history.png
14,standard_dp,标准 DP,26,218.520000,2948.900000,780.000000,419.193640,422.356074,411.015028,3.162434,0.754409,-8.178612,-1.951034,-11.341046,-2.685186,21,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip014\01_standard_dp.png
14,energy_first,Energy First,26,218.520000,2948.900000,780.000000,415.633050,416.854453,406.175500,1.221403,0.293866,-9.457550,-2.275457,-10.678953,-2.561794,22,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip014\02_energy_first.png
14,dwell5_dp,停站放宽 5% DP,26,218.520000,2948.900000,780.000000,406.747210,407.536863,395.304083,0.789653,0.194138,-11.443127,-2.813326,-12.232779,-3.001638,22,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip014\03_dwell5_dp.png
15,history,历史运行,26,216.520000,3023.800000,788.000000,403.279510,399.355510,385.414028,-3.923999,-0.973022,-17.865482,-4.430049,-13.941482,-3.490995,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip015\00_history.png
15,standard_dp,标准 DP,26,216.520000,3023.800000,788.000000,396.262220,397.917057,384.150667,1.654837,0.417612,-12.111553,-3.056449,-13.766391,-3.459613,23,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip015\01_standard_dp.png
15,energy_first,Energy First,26,216.520000,3023.800000,788.000000,380.037410,381.638436,373.522417,1.601026,0.421281,-6.514993,-1.714303,-8.116020,-2.126625,24,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip015\02_energy_first.png
15,dwell5_dp,停站放宽 5% DP,26,216.520000,3023.800000,788.000000,386.620750,389.300019,374.419194,2.679269,0.692997,-12.201556,-3.155949,-14.880824,-3.822457,23,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip015\03_dwell5_dp.png
16,history,历史运行,26,216.340000,2964.550000,775.000000,438.862254,433.783182,413.608472,-5.079072,-1.157327,-25.253781,-5.754375,-20.174709,-4.650874,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip016\00_history.png
16,standard_dp,标准 DP,26,216.340000,2964.550000,775.000000,414.119250,421.199857,407.982861,7.080607,1.709799,-6.136389,-1.481793,-13.216996,-3.137939,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip016\01_standard_dp.png
