序号,区间,segment,来源run_id,绝对开始时间,绝对结束时间,趟次选择方式,数据读取来源,样本数,运行时间(s),区间里程(km),重量(t),历史真实能耗(kWh),Simu物理机械能耗(kWh),Simu-真实(kWh),相对差异(%)
11,下应路-大洋江,3,175,2024-07-01 13:01:56,2024-07-01 13:03:41,traceability-cache,cache,2104,105.15,1.213735416666668,215.74,11.223551142013891,11.008064030657597,-0.2154871113562931,-1.9199548220495508
12,大洋江-泗港,3,176,2024-07-01 13:04:12,2024-07-01 13:05:43,traceability-cache,cache,1831,91.5,0.9580855555555571,215.54,10.679370751819446,10.837207772119777,0.15783702030033056,1.4779618010119167
13,泗港-曹隘,3,177,2024-07-01 13:06:13,2024-07-01 13:08:28,traceability-cache,cache,2691,134.5,1.799612500000007,215.54,23.30587243344445,23.729082049806728,0.4232096163622773,1.8158926149229326
14,曹隘-柳隘,3,178,2024-07-01 13:08:59,2024-07-01 13:10:45,traceability-cache,cache,2135,106.7,1.307810972222219,215.54,20.87103257795139,21.91701971855543,1.0459871406040437,5.011669339776928
15,柳隘-海晏北路,3,179,2024-07-01 13:11:15,2024-07-01 13:12:45,traceability-cache,cache,1804,90.15,0.9810762499999992,215.74,14.348066955208333,14.264029503841961,-0.08403745136637189,-0.5857057374259492
16,海晏北路-民安东路,3,180,2024-07-01 13:13:30,2024-07-01 13:14:53,traceability-cache,cache,1668,83.35,0.8656919444444441,217.44,15.734549987333333,16.091281851554605,0.3567318642212722,2.2671882227864755
17,民安东路-会展中心,3,181,2024-07-01 13:15:23,2024-07-01 13:16:40,traceability-cache,cache,1536,76.75,0.7259876388888875,217.34,12.259463741020836,12.777303555271189,0.517839814250352,4.224000536969914
18,会展中心-院士路,3,182,2024-07-01 13:17:10,2024-07-01 13:19:04,traceability-cache,cache,2293,114.6,1.552385972222226,216.84,14.992710858499999,15.212298878490552,0.21958801999055322,1.4646318605288084
19,院士路-盎孟港,3,183,2024-07-01 13:19:34,2024-07-01 13:21:04,traceability-cache,cache,1796,89.75,0.9940613888888885,216.44,18.6769724741875,18.791079045570875,0.1141065713833741,0.6109479014389245
20,盎孟港-三官堂,3,184,2024-07-01 13:21:33,2024-07-01 13:23:52,traceability-cache,cache,2765,138.2,1.8779155555555531,216.14,16.344687558743058,15.347755451123094,-0.9969321076199649,-6.099425908491524
21,三官堂-兴庄路,3,185,2024-07-01 13:24:26,2024-07-01 13:26:11,traceability-cache,cache,2095,104.7,1.080378472222221,216.24,10.456834729756945,10.410654703638722,-0.046180026118223395,-0.44162528443534826
22,兴庄路-兴海南路,3,186,2024-07-01 13:26:42,2024-07-01 13:28:13,traceability-cache,cache,1823,91.1,0.9587738888888867,216.04,12.283342190104166,12.101362068456911,-0.18198012164725513,-1.4815195964650718
23,兴海南路-梅堰,3,187,2024-07-01 13:28:43,2024-07-01 13:30:05,traceability-cache,cache,1629,81.4,0.8336791666666654,215.94,12.824431422791667,13.018625453948601,0.1941940311569342,1.5142506108443237
24,梅堰-永茂路,2,188,2024-07-01 13:30:41,2024-07-01 13:36:09,traceability-cache,cache,6568,328.35,3.6755900000000086,216.14,26.160331478875,25.58396072399184,-0.5763707548831589,-2.2032242035946297
25,永茂路-镇海大道,3,189,2024-07-01 13:36:37,2024-07-01 13:38:59,traceability-cache,cache,2851,142.5,2.1328754166666757,216.14,18.070620082347222,17.518997018688943,-0.5516230636582768,-3.0525962094524077
26,镇海大道-骆驼桥,3,190,2024-07-01 13:39:27,2024-07-01 13:41:24,traceability-cache,cache,2329,116.4,1.596590138888891,215.74,20.191624458583334,18.560846794971077,-1.630777663612258,-8.076505518202746
